ID_code,AC(v22.2),AH(v22.2),AT(v22.2)
B2_O_L1_Base_S_0.12_5.9_TS1,2697.63,907.87,3605.5
B2_O_L2_Base_S_0.12_5.9_TS1,681.14,3795.77,4476.91
B2_O_L1_DG_E_0.2_0.8_TS2,2616.5,889.87,3506.37
B2_O_L1_DG_E_0.2_0.8_TS3,2641.44,875.07,3516.51
B2_O_L1_DG_E_0.2_2.3_TS2,2663.74,879.21,3542.95
B2_O_L1_DG_E_0.2_2.3_TS3,2686.49,859.27,3545.7599999999998
B2_O_L1_DG_E_0.6_0.8_TS2,2772.73,811.13,3583.86
B2_O_L1_DG_E_0.6_0.8_TS3,2785.17,797.19,3582.36
B2_O_L1_DG_E_0.6_2.3_TS2,2888.39,780.37,3668.7599999999998
B2_O_L1_DG_E_0.6_2.3_TS3,2887.84,758.98,3646.82
B2_O_L1_DG_S_0.2_0.8_TS2,2660.96,909.97,3570.9300000000003
B2_O_L1_DG_S_0.2_0.8_TS3,2682.42,896.68,3579.1
B2_O_L1_DG_S_0.2_2.3_TS2,2693.11,882.29,3575.4
B2_O_L1_DG_S_0.2_2.3_TS3,2709.88,866.77,3576.65
B2_O_L1_DG_S_0.6_0.8_TS2,2772.62,784.55,3557.17
B2_O_L1_DG_S_0.6_0.8_TS3,2782.26,777.17,3559.4300000000003
B2_O_L1_DG_S_0.6_2.3_TS2,2838.87,721.79,3560.66
B2_O_L1_DG_S_0.6_2.3_TS3,2833.59,722.55,3556.1400000000003
B2_O_L1_DG_W_0.2_0.8_TS2,2617.9,858.26,3476.16
B2_O_L1_DG_W_0.2_0.8_TS3,2639.01,846.92,3485.9300000000003
B2_O_L1_DG_W_0.2_2.3_TS2,2656.81,850.71,3507.52
B2_O_L1_DG_W_0.2_2.3_TS3,2672.03,835.28,3507.3100000000004
B2_O_L1_DG_W_0.6_0.8_TS2,2729.01,782.78,3511.79
B2_O_L1_DG_W_0.6_0.8_TS3,2739.21,771.84,3511.05
B2_O_L1_DG_W_0.6_2.3_TS2,2833.59,762.69,3596.28
B2_O_L1_DG_W_0.6_2.3_TS3,2815.86,754.62,3570.48
B2_O_L2_DG_E_0.2_0.8_TS2,639.03,3768.4,4407.43
B2_O_L2_DG_E_0.2_0.8_TS3,668.3,3618.33,4286.63
B2_O_L2_DG_E_0.2_1.0_TS2,638.72,3768.53,4407.25
B2_O_L2_DG_E_0.2_1.0_TS3,667.56,3626.36,4293.92
B2_O_L2_DG_E_0.6_0.8_TS2,699.78,3591.75,4291.53
B2_O_L2_DG_E_0.6_0.8_TS3,731.12,3443.27,4174.39
B2_O_L2_DG_E_0.6_1.0_TS2,696.02,3616.07,4312.09
B2_O_L2_DG_E_0.6_1.0_TS3,726.96,3469.06,4196.02
B2_O_L2_DG_S_0.2_0.8_TS2,649.27,3792.54,4441.8099999999995
B2_O_L2_DG_S_0.2_0.8_TS3,679.31,3641.16,4320.469999999999
B2_O_L2_DG_S_0.2_1.0_TS2,648.68,3797.31,4445.99
B2_O_L2_DG_S_0.2_1.0_TS3,678.37,3652.74,4331.11
B2_O_L2_DG_S_0.6_0.8_TS2,715.93,3517.0,4232.93
B2_O_L2_DG_S_0.6_0.8_TS3,747.47,3385.51,4132.9800000000005
B2_O_L2_DG_S_0.6_1.0_TS2,712.39,3542.78,4255.17
B2_O_L2_DG_S_0.6_1.0_TS3,742.82,3408.97,4151.79
B2_O_L2_DG_W_0.2_0.8_TS2,643.16,3729.03,4372.1900000000005
B2_O_L2_DG_W_0.2_0.8_TS3,669.84,3586.92,4256.76
B2_O_L2_DG_W_0.2_1.0_TS2,643.07,3740.49,4383.5599999999995
B2_O_L2_DG_W_0.2_1.0_TS3,669.54,3594.22,4263.76
B2_O_L2_DG_W_0.6_0.8_TS2,687.64,3571.97,4259.61
B2_O_L2_DG_W_0.6_0.8_TS3,715.47,3432.48,4147.95
B2_O_L2_DG_W_0.6_1.0_TS2,685.59,3600.4,4285.99
B2_O_L2_DG_W_0.6_1.0_TS3,712.94,3460.07,4173.01
B2_O_L1_DS_E_0.2_0.8_TS2,2830.43,764.11,3594.54
B2_O_L1_DS_E_0.2_2.3_TS2,2916.31,735.82,3652.13
B2_O_L1_DS_E_0.6_0.8_TS2,3044.26,686.89,3731.15
B2_O_L1_DS_E_0.6_2.3_TS2,3170.63,657.23,3827.86
B2_O_L1_DS_S_0.2_0.8_TS2,2938.29,774.27,3712.56
B2_O_L1_DS_S_0.2_2.3_TS2,3053.16,746.11,3799.27
B2_O_L1_DS_S_0.6_0.8_TS2,3118.7,686.07,3804.77
B2_O_L1_DS_S_0.6_2.3_TS2,3253.41,646.11,3899.52
B2_O_L1_DS_W_0.2_0.8_TS2,2812.18,736.37,3548.5499999999997
B2_O_L1_DS_W_0.2_2.3_TS2,2892.23,716.02,3608.25
B2_O_L1_DS_W_0.6_0.8_TS2,2982.79,672.78,3655.5699999999997
B2_O_L1_DS_W_0.6_2.3_TS2,3104.28,646.89,3751.17
B2_O_L2_DS_E_0.2_0.8_TS2,734.3,3659.63,4393.93
B2_O_L2_DS_E_0.2_1.0_TS2,730.9,3678.74,4409.639999999999
B2_O_L2_DS_E_0.6_0.8_TS2,845.38,3500.21,4345.59
B2_O_L2_DS_E_0.6_1.0_TS2,833.85,3550.27,4384.12
B2_O_L2_DS_S_0.2_0.8_TS2,765.57,3661.28,4426.85
B2_O_L2_DS_S_0.2_1.0_TS2,761.52,3685.81,4447.33
B2_O_L2_DS_S_0.6_0.8_TS2,893.36,3450.11,4343.47
B2_O_L2_DS_S_0.6_1.0_TS2,881.83,3500.22,4382.05
B2_O_L2_DS_W_0.2_0.8_TS2,728.7,3629.56,4358.26
B2_O_L2_DS_W_0.2_1.0_TS2,725.57,3652.86,4378.43
B2_O_L2_DS_W_0.6_0.8_TS2,824.86,3491.68,4316.54
B2_O_L2_DS_W_0.6_1.0_TS2,815.43,3538.43,4353.86
B2_O_L1_MW_E_0.2_0.8_TS2,2761.68,868.12,3629.7999999999997
B2_O_L1_MW_E_0.2_0.8_TS3,2747.95,869.75,3617.7
B2_O_L1_MW_E_0.2_2.3_TS2,2779.93,866.93,3646.8599999999997
B2_O_L1_MW_E_0.2_2.3_TS3,2747.82,867.58,3615.4
B2_O_L1_MW_E_0.6_0.8_TS2,2877.1,826.16,3703.2599999999998
B2_O_L1_MW_E_0.6_0.8_TS3,2822.83,828.13,3650.96
B2_O_L1_MW_E_0.6_2.3_TS2,2926.96,826.89,3753.85
B2_O_L1_MW_E_0.6_2.3_TS3,2830.48,832.6,3663.08
B2_O_L1_MW_S_0.2_0.8_TS2,2801.44,868.74,3670.1800000000003
B2_O_L1_MW_S_0.2_0.8_TS3,2783.67,872.96,3656.63
B2_O_L1_MW_S_0.2_2.3_TS2,2813.56,863.19,3676.75
B2_O_L1_MW_S_0.2_2.3_TS3,2782.43,879.54,3661.97
B2_O_L1_MW_S_0.6_0.8_TS2,2900.63,817.65,3718.28
B2_O_L1_MW_S_0.6_0.8_TS3,2848.21,836.53,3684.74
B2_O_L1_MW_S_0.6_2.3_TS2,2943.55,806.87,3750.42
B2_O_L1_MW_S_0.6_2.3_TS3,2846.84,846.5,3693.34
B2_O_L1_MW_W_0.2_0.8_TS2,2762.89,835.45,3598.34
B2_O_L1_MW_W_0.2_0.8_TS3,2731.37,838.9,3570.27
B2_O_L1_MW_W_0.2_2.3_TS2,2773.42,835.66,3609.08
B2_O_L1_MW_W_0.2_2.3_TS3,2730.28,840.71,3570.9900000000002
B2_O_L1_MW_W_0.6_0.8_TS2,2875.52,799.63,3675.15
B2_O_L1_MW_W_0.6_0.8_TS3,2788.7,805.63,3594.33
B2_O_L1_MW_W_0.6_2.3_TS2,2903.19,799.5,3702.69
B2_O_L1_MW_W_0.6_2.3_TS3,2786.18,816.51,3602.6899999999996
B2_O_L2_MW_E_0.2_0.8_TS2,689.25,3747.62,4436.87
B2_O_L2_MW_E_0.2_0.8_TS3,684.88,3730.14,4415.0199999999995
B2_O_L2_MW_E_0.2_1.0_TS2,688.75,3748.49,4437.24
B2_O_L2_MW_E_0.2_1.0_TS3,685.31,3731.39,4416.7
B2_O_L2_MW_E_0.6_0.8_TS2,731.26,3684.69,4415.95
B2_O_L2_MW_E_0.6_0.8_TS3,720.79,3643.9,4364.6900000000005
B2_O_L2_MW_E_0.6_1.0_TS2,728.09,3696.74,4424.83
B2_O_L2_MW_E_0.6_1.0_TS3,719.61,3652.93,4372.54
B2_O_L2_MW_S_0.2_0.8_TS2,695.29,3736.98,4432.27
B2_O_L2_MW_S_0.2_0.8_TS3,692.25,3730.97,4423.219999999999
B2_O_L2_MW_S_0.2_1.0_TS2,694.36,3742.39,4436.75
B2_O_L2_MW_S_0.2_1.0_TS3,691.5,3735.71,4427.21
B2_O_L2_MW_S_0.6_0.8_TS2,735.53,3625.85,4361.38
B2_O_L2_MW_S_0.6_0.8_TS3,724.05,3621.21,4345.26
B2_O_L2_MW_S_0.6_1.0_TS2,731.25,3639.57,4370.82
B2_O_L2_MW_S_0.6_1.0_TS3,721.44,3630.25,4351.6900000000005
B2_O_L2_MW_W_0.2_0.8_TS2,687.08,3719.16,4406.24
B2_O_L2_MW_W_0.2_0.8_TS3,680.85,3702.02,4382.87
B2_O_L2_MW_W_0.2_1.0_TS2,686.05,3723.28,4409.33
B2_O_L2_MW_W_0.2_1.0_TS3,680.31,3708.83,4389.139999999999
B2_O_L2_MW_W_0.6_0.8_TS2,727.98,3659.17,4387.15
B2_O_L2_MW_W_0.6_0.8_TS3,709.04,3623.03,4332.07
B2_O_L2_MW_W_0.6_1.0_TS2,724.36,3670.91,4395.2699999999995
B2_O_L2_MW_W_0.6_1.0_TS3,706.99,3630.78,4337.77
B2_O_L1_ST_E_0.2_0.8_TS2,2652.0,878.45,3530.45
B2_O_L1_ST_E_0.2_0.8_TS3,2653.69,883.4,3537.09
B2_O_L1_ST_E_0.2_2.3_TS2,2688.87,879.66,3568.5299999999997
B2_O_L1_ST_E_0.2_2.3_TS3,2693.06,880.85,3573.91
B2_O_L1_ST_E_0.6_0.8_TS2,2675.52,849.64,3525.16
B2_O_L1_ST_E_0.6_0.8_TS3,2680.86,860.11,3540.9700000000003
B2_O_L1_ST_E_0.6_2.3_TS2,2680.08,859.38,3539.46
B2_O_L1_ST_E_0.6_2.3_TS3,2688.42,868.21,3556.63
B2_O_L1_ST_S_0.2_0.8_TS2,2713.4,921.22,3634.62
B2_O_L1_ST_S_0.2_0.8_TS3,2713.29,926.64,3639.93
B2_O_L1_ST_S_0.2_2.3_TS2,2735.55,898.95,3634.5
B2_O_L1_ST_S_0.2_2.3_TS3,2737.1,905.46,3642.56
B2_O_L1_ST_S_0.6_0.8_TS2,2722.13,892.4,3614.53
B2_O_L1_ST_S_0.6_0.8_TS3,2723.51,904.85,3628.36
B2_O_L1_ST_S_0.6_2.3_TS2,2724.25,891.39,3615.64
B2_O_L1_ST_S_0.6_2.3_TS3,2725.46,908.58,3634.04
B2_O_L1_ST_W_0.2_0.8_TS2,2654.37,850.53,3504.8999999999996
