ID_code,AC(v8.5),AH(v8.5),AT(v8.5)
B2_O_L1_MW_E_0.6_0.8_TS3,2852.3,808.28,3660.58
B2_O_L1_MW_E_0.6_2.3_TS2,2926.6,831.63,3758.23
B2_O_L1_MW_E_0.6_2.3_TS3,2829.67,838.81,3668.48
B2_O_L1_MW_S_0.2_0.8_TS2,2824.42,850.19,3674.61
B2_O_L1_MW_S_0.2_0.8_TS3,2792.07,869.91,3661.98
B2_O_L1_MW_S_0.2_2.3_TS2,2811.68,868.24,3679.92
B2_O_L1_MW_S_0.2_2.3_TS3,2780.47,878.9,3659.37
B2_O_L1_MW_S_0.6_0.8_TS2,2979.51,779.74,3759.25
B2_O_L1_MW_S_0.6_0.8_TS3,2875.06,821.04,3696.1
B2_O_L1_MW_S_0.6_2.3_TS2,2942.36,811.13,3753.4900000000002
B2_O_L1_MW_S_0.6_2.3_TS3,2845.41,848.77,3694.18
B2_O_L1_MW_W_0.2_0.8_TS2,2781.76,822.8,3604.5600000000004
B2_O_L1_MW_W_0.2_0.8_TS3,2741.07,828.0,3569.07
B2_O_L1_MW_W_0.2_2.3_TS2,2771.84,839.3,3611.1400000000003
B2_O_L1_MW_W_0.2_2.3_TS3,2728.46,843.81,3572.27
B2_O_L1_MW_W_0.6_0.8_TS2,2937.56,765.82,3703.38
B2_O_L1_MW_W_0.6_0.8_TS3,2818.27,786.03,3604.3
B2_O_L1_MW_W_0.6_2.3_TS2,2902.05,806.92,3708.9700000000003
B2_O_L1_MW_W_0.6_2.3_TS3,2784.92,820.62,3605.54
B2_O_L2_MW_E_0.2_0.8_TS2,704.49,3711.53,4416.02
B2_O_L2_MW_E_0.2_0.8_TS3,693.54,3702.69,4396.23
B2_O_L2_MW_E_0.2_1.0_TS2,704.71,3732.15,4436.860000000001
B2_O_L2_MW_E_0.2_1.0_TS3,690.96,3715.86,4406.82
B2_O_L2_MW_E_0.6_0.8_TS2,782.92,3601.87,4384.79
B2_O_L2_MW_E_0.6_0.8_TS3,745.74,3571.72,4317.46
B2_O_L2_MW_E_0.6_1.0_TS2,781.68,3647.8,4429.4800000000005
B2_O_L2_MW_E_0.6_1.0_TS3,736.3,3613.84,4350.14
B2_O_L2_MW_S_0.2_0.8_TS2,710.89,3687.23,4398.12
B2_O_L2_MW_S_0.2_0.8_TS3,701.21,3693.58,4394.79
B2_O_L2_MW_S_0.2_1.0_TS2,710.21,3702.1,4412.3099999999995
B2_O_L2_MW_S_0.2_1.0_TS3,699.24,3708.56,4407.8
B2_O_L2_MW_S_0.6_0.8_TS2,789.34,3496.49,4285.83
B2_O_L2_MW_S_0.6_0.8_TS3,746.73,3531.5,4278.23
B2_O_L2_MW_S_0.6_1.0_TS2,786.37,3538.16,4324.53
B2_O_L2_MW_S_0.6_1.0_TS3,738.16,3574.35,4312.51
B2_O_L2_MW_W_0.2_0.8_TS2,700.87,3685.58,4386.45
B2_O_L2_MW_W_0.2_0.8_TS3,689.64,3673.48,4363.12
B2_O_L2_MW_W_0.2_1.0_TS2,700.16,3703.5,4403.66
B2_O_L2_MW_W_0.2_1.0_TS3,687.5,3692.62,4380.12
B2_O_L2_MW_W_0.6_0.8_TS2,776.81,3576.19,4353.0
B2_O_L2_MW_W_0.6_0.8_TS3,731.23,3556.96,4288.1900000000005
B2_O_L2_MW_W_0.6_1.0_TS2,773.04,3627.54,4400.58
B2_O_L2_MW_W_0.6_1.0_TS3,723.45,3600.13,4323.58
B2_O_L1_ST_E_0.2_0.8_TS2,2682.31,868.37,3550.68
B2_O_L1_ST_E_0.2_0.8_TS3,2682.84,873.28,3556.12
B2_O_L1_ST_E_0.2_2.3_TS2,2687.13,887.2,3574.33
B2_O_L1_ST_E_0.2_2.3_TS3,2691.24,888.01,3579.25
B2_O_L1_ST_E_0.6_0.8_TS2,2687.17,846.03,3533.2
B2_O_L1_ST_E_0.6_0.8_TS3,2690.14,858.09,3548.23
B2_O_L1_ST_E_0.6_2.3_TS2,2678.4,864.0,3542.4
B2_O_L1_ST_E_0.6_2.3_TS3,2687.03,872.54,3559.57
B2_O_L1_ST_S_0.2_0.8_TS2,2735.41,900.41,3635.8199999999997
B2_O_L1_ST_S_0.2_0.8_TS3,2733.69,904.88,3638.57
B2_O_L1_ST_S_0.2_2.3_TS2,2733.67,907.1,3640.77
B2_O_L1_ST_S_0.2_2.3_TS3,2734.92,912.81,3647.73
B2_O_L1_ST_S_0.6_0.8_TS2,2736.4,889.27,3625.67
B2_O_L1_ST_S_0.6_0.8_TS3,2734.74,900.14,3634.8799999999997
B2_O_L1_ST_S_0.6_2.3_TS2,2722.5,896.73,3619.23
B2_O_L1_ST_S_0.6_2.3_TS3,2723.73,912.8,3636.5299999999997
B2_O_L1_ST_W_0.2_0.8_TS2,2676.72,841.8,3518.5199999999995
B2_O_L1_ST_W_0.2_0.8_TS3,2676.43,848.39,3524.8199999999997
B2_O_L1_ST_W_0.2_2.3_TS2,2682.05,860.37,3542.42
B2_O_L1_ST_W_0.2_2.3_TS3,2683.02,867.22,3550.24
B2_O_L1_ST_W_0.6_0.8_TS2,2675.15,835.43,3510.58
B2_O_L1_ST_W_0.6_0.8_TS3,2672.45,845.35,3517.7999999999997
B2_O_L1_ST_W_0.6_2.3_TS2,2671.9,849.54,3521.44
B2_O_L1_ST_W_0.6_2.3_TS3,2669.57,860.72,3530.29
B2_O_L2_ST_E_0.2_0.8_TS2,668.63,3655.67,4324.3
B2_O_L2_ST_E_0.2_0.8_TS3,671.16,3644.47,4315.63
B2_O_L2_ST_E_0.2_1.0_TS2,667.74,3667.69,4335.43
B2_O_L2_ST_E_0.2_1.0_TS3,670.39,3657.83,4328.22
B2_O_L2_ST_E_0.6_0.8_TS2,665.37,3616.6,4281.97
