ID_code,AC(v22.2)
B2_O_L2_MW_S_0.2_1.0_TS2,694.5712824439157
B2_O_L2_MW_S_0.2_1.0_TS3,691.7108115115567
B2_O_L2_MW_S_0.6_0.8_TS2,786.2466913036972
B2_O_L2_MW_S_0.6_0.8_TS3,744.1919329439714
B2_O_L2_MW_S_0.6_1.0_TS2,731.4547996689971
B2_O_L2_MW_S_0.6_1.0_TS3,721.6361776636248
B2_O_L2_MW_W_0.2_0.8_TS2,698.8395302262
B2_O_L2_MW_W_0.2_0.8_TS3,687.7555421644455
B2_O_L2_MW_W_0.2_1.0_TS2,686.1992524031506
B2_O_L2_MW_W_0.2_1.0_TS3,680.6659576541784
B2_O_L2_MW_W_0.6_0.8_TS2,773.9275047273859
B2_O_L2_MW_W_0.6_0.8_TS3,729.1488932929656
B2_O_L2_MW_W_0.6_1.0_TS2,724.54388011238
B2_O_L2_MW_W_0.6_1.0_TS3,707.3529029428248
B2_R_L2_MW_E_0.2_0.8_TS2,767.5303799322372
B2_R_L2_MW_E_0.2_0.8_TS3,759.3861700652263
B2_R_L2_MW_E_0.2_1.0_TS2,725.2369059735059
B2_R_L2_MW_E_0.2_1.0_TS3,732.4471936571477
B2_R_L2_MW_E_0.6_0.8_TS2,956.6538339119135
B2_R_L2_MW_E_0.6_0.8_TS3,902.7731607324748
B2_R_L2_MW_E_0.6_1.0_TS2,829.9699257363761
B2_R_L2_MW_E_0.6_1.0_TS3,836.8660542422399
B2_R_L2_MW_S_0.2_0.8_TS2,819.6043984600154
B2_R_L2_MW_S_0.2_0.8_TS3,801.944424604329
B2_R_L2_MW_S_0.2_1.0_TS2,777.3435678045909
B2_R_L2_MW_S_0.2_1.0_TS3,787.6424754400101
B2_R_L2_MW_S_0.6_0.8_TS2,995.1931475498725
B2_R_L2_MW_S_0.6_0.8_TS3,931.3997661325894
B2_R_L2_MW_S_0.6_1.0_TS2,872.300201026009
B2_R_L2_MW_S_0.6_1.0_TS3,882.6661020772365
B2_R_L2_MW_W_0.2_0.8_TS2,768.6590573795896
B2_R_L2_MW_W_0.2_0.8_TS3,755.4387367494336
B2_R_L2_MW_W_0.2_1.0_TS2,735.2611751171273
B2_R_L2_MW_W_0.2_1.0_TS3,736.1541608777667
B2_R_L2_MW_W_0.6_0.8_TS2,932.2027195619006
B2_R_L2_MW_W_0.6_0.8_TS3,876.6974789108664
B2_R_L2_MW_W_0.6_1.0_TS2,826.2467492350919
B2_R_L2_MW_W_0.6_1.0_TS3,822.8378840904838
B2_O_L2_ST_E_0.2_0.8_TS2,666.442497278273
B2_O_L2_ST_E_0.2_0.8_TS3,669.1047157743204
B2_O_L2_ST_E_0.2_1.0_TS2,665.6384947934567
B2_O_L2_ST_E_0.2_1.0_TS3,668.3962320949919
B2_O_L2_ST_E_0.6_0.8_TS2,663.2047341438697
B2_O_L2_ST_E_0.6_0.8_TS3,670.8161014493471
B2_O_L2_ST_E_0.6_1.0_TS2,662.6396669682256
B2_O_L2_ST_E_0.6_1.0_TS3,670.0510060043027
B2_O_L2_ST_S_0.2_0.8_TS2,677.8160974203024
B2_O_L2_ST_S_0.2_0.8_TS3,680.8593932599148
B2_O_L2_ST_S_0.2_1.0_TS2,676.9868359180826
B2_O_L2_ST_S_0.2_1.0_TS3,680.1462388065625
B2_O_L2_ST_S_0.6_0.8_TS2,671.3634513140001
B2_O_L2_ST_S_0.6_0.8_TS3,678.7008462306244
B2_O_L2_ST_S_0.6_1.0_TS2,670.3407958048186
