ID_code,AC(v8.5_old_py),diff%_AC(v8.5_old_py),AH(v8.5_old_py),diff%_AH(v8.5_old_py),AT(v8.5_old_py),diff%_AT(v8.5_old_py),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),Delta_AC%_(v22.2-8.7_new),Delta_AH%_(v22.2-8.7_new),Delta_AT%_(v22.2-8.7_new)
B2_O_L2_MW_E_0.2_1.0_TS3,690.96,1.1,3715.86,-1.78,4406.82,-1.34,689.3,1.1,3717.32,-1.67,4406.62,-1.25,688.66,1.1,3725.91,-1.84,4414.57,-1.39,-0.09,0.23,0.18
B2_O_L2_MW_E_0.6_0.8_TS2,782.92,14.56,3601.87,-4.79,4384.79,-1.83,781.6,14.64,3599.52,-4.79,4381.12,-1.82,780.54,14.59,3609.66,-4.9,4390.2,-1.94,-0.14,0.28,0.21
B2_O_L2_MW_E_0.6_0.8_TS3,745.74,9.12,3571.72,-5.59,4317.46,-3.34,743.99,9.12,3572.84,-5.49,4316.83,-3.26,743.05,9.09,3581.22,-5.65,4324.27,-3.41,-0.13,0.23,0.17
B2_O_L2_MW_E_0.6_1.0_TS2,781.68,14.37,3647.8,-3.58,4429.4800000000005,-0.83,779.94,14.4,3649.94,-3.45,4429.88,-0.72,778.93,14.36,3661.48,-3.54,4440.41,-0.82,-0.13,0.32,0.24
B2_O_L2_MW_E_0.6_1.0_TS3,736.3,7.73,3613.84,-4.48,4350.14,-2.61,734.82,7.78,3613.81,-4.41,4348.63,-2.55,734.01,7.76,3621.77,-4.58,4355.78,-2.71,-0.11,0.22,0.16
B2_O_L2_MW_S_0.2_0.8_TS2,710.89,4.02,3687.23,-2.54,4398.12,-1.53,709.32,4.04,3686.95,-2.47,4396.2699999999995,-1.48,708.52,4.02,3695.36,-2.65,4403.88,-1.63,-0.11,0.23,0.17
B2_O_L2_MW_S_0.2_0.8_TS3,701.21,2.6,3693.58,-2.37,4394.79,-1.61,699.68,2.63,3693.32,-2.3,4393.0,-1.55,699.07,2.63,3704.54,-2.4,4403.61,-1.64,-0.09,0.3,0.24
B2_O_L2_MW_S_0.2_1.0_TS2,710.21,3.92,3702.1,-2.14,4412.3099999999995,-1.22,708.74,3.95,3700.06,-2.13,4408.8,-1.2,707.92,3.93,3710.56,-2.24,4418.48,-1.31,-0.12,0.28,0.22
B2_O_L2_MW_S_0.2_1.0_TS3,699.24,2.31,3708.56,-1.97,4407.8,-1.32,697.72,2.34,3708.86,-1.89,4406.58,-1.25,696.95,2.32,3718.06,-2.05,4415.01,-1.38,-0.11,0.25,0.19
B2_O_L2_MW_S_0.6_0.8_TS2,789.34,15.5,3496.49,-7.58,4285.83,-4.05,787.34,15.48,3497.88,-7.47,4285.22,-3.97,786.06,15.4,3505.75,-7.64,4291.81,-4.13,-0.16,0.22,0.15
B2_O_L2_MW_S_0.6_0.8_TS3,746.73,9.26,3531.5,-6.65,4278.23,-4.22,745.14,9.29,3532.65,-6.55,4277.79,-4.13,744.02,9.23,3544.34,-6.62,4288.36,-4.21,-0.15,0.33,0.25
B2_O_L2_MW_S_0.6_1.0_TS2,786.37,15.06,3538.16,-6.48,4324.53,-3.18,784.45,15.06,3538.83,-6.39,4323.28,-3.11,783.35,15.01,3549.66,-6.48,4333.01,-3.21,-0.14,0.31,0.23
B2_O_L2_MW_S_0.6_1.0_TS3,738.16,8.01,3574.35,-5.52,4312.51,-3.45,736.48,8.02,3573.39,-5.48,4309.87,-3.41,735.67,8.01,3582.88,-5.61,4318.55,-3.54,-0.11,0.27,0.2
B2_O_L2_MW_W_0.2_0.8_TS2,700.87,2.55,3685.58,-2.58,4386.45,-1.79,699.2,2.56,3684.68,-2.53,4383.88,-1.76,698.64,2.57,3690.86,-2.76,4389.5,-1.95,-0.08,0.17,0.13
B2_O_L2_MW_W_0.2_0.8_TS3,689.64,0.91,3673.48,-2.9,4363.12,-2.32,687.72,0.87,3674.08,-2.81,4361.8,-2.25,687.37,0.91,3682.82,-2.98,4370.19,-2.38,-0.05,0.24,0.19
B2_O_L2_MW_W_0.2_1.0_TS2,700.16,2.45,3703.5,-2.11,4403.66,-1.41,698.4,2.44,3704.03,-2.02,4402.43,-1.34,697.98,2.47,3713.04,-2.18,4411.02,-1.47,-0.06,0.24,0.2
B2_O_L2_MW_W_0.2_1.0_TS3,687.5,0.59,3692.62,-2.39,4380.12,-1.94,685.74,0.58,3689.1,-2.42,4374.84,-1.96,684.92,0.55,3696.18,-2.62,4381.1,-2.14,-0.12,0.19,0.14
B2_O_L2_MW_W_0.6_0.8_TS2,776.81,13.66,3576.19,-5.47,4353.0,-2.54,774.84,13.65,3577.5,-5.37,4352.34,-2.46,773.7,13.59,3583.24,-5.6,4356.94,-2.68,-0.15,0.16,0.11
B2_O_L2_MW_W_0.6_0.8_TS3,731.23,6.99,3556.96,-5.98,4288.1900000000005,-3.99,729.66,7.02,3557.21,-5.9,4286.87,-3.93,728.78,6.99,3564.0,-6.11,4292.78,-4.11,-0.12,0.19,0.14
B2_O_L2_MW_W_0.6_1.0_TS2,773.04,13.11,3627.54,-4.11,4400.58,-1.48,771.19,13.11,3627.88,-4.04,4399.07,-1.41,769.98,13.04,3634.75,-4.24,4404.73,-1.61,-0.16,0.19,0.13
B2_O_L2_MW_W_0.6_1.0_TS3,723.45,5.85,3600.13,-4.84,4323.58,-3.2,721.62,5.84,3597.69,-4.83,4319.31,-3.2,720.58,5.79,3608.96,-4.92,4329.54,-3.29,-0.14,0.31,0.24
B2_O_L1_ST_E_0.2_0.8_TS2,2682.31,-1.98,868.37,-5.26,3550.68,-2.8,2680.05,-2.0,867.21,-5.31,3547.26,-2.83,2684.19,-1.98,865.66,-5.36,3549.85,-2.83,0.15,-0.18,0.07
B2_O_L1_ST_E_0.2_0.8_TS3,2682.84,-1.96,873.28,-4.72,3556.12,-2.65,2680.62,-1.97,873.92,-4.57,3554.54,-2.63,2684.78,-1.96,869.28,-4.96,3554.06,-2.71,0.16,-0.53,-0.01
B2_O_L1_ST_E_0.2_2.3_TS2,2687.13,-1.8,887.2,-3.2,3574.33,-2.16,2684.8,-1.82,882.9,-3.59,3567.7000000000003,-2.27,2688.9,-1.81,876.5,-4.18,3565.4,-2.4,0.15,-0.72,-0.06
B2_O_L1_ST_E_0.2_2.3_TS3,2691.24,-1.65,888.01,-3.12,3579.25,-2.02,2688.84,-1.67,886.46,-3.2,3575.3,-2.06,2692.96,-1.66,880.6,-3.73,3573.56,-2.18,0.15,-0.66,-0.05
B2_O_L1_ST_E_0.6_0.8_TS2,2687.17,-1.8,846.03,-7.7,3533.2,-3.28,2684.87,-1.82,842.32,-8.02,3527.19,-3.38,2688.6,-1.82,840.96,-8.06,3529.56,-3.38,0.14,-0.16,0.07
B2_O_L1_ST_E_0.6_0.8_TS3,2690.14,-1.69,858.09,-6.38,3548.23,-2.87,2687.77,-1.71,858.23,-6.29,3546.0,-2.86,2691.64,-1.71,855.25,-6.5,3546.89,-2.91,0.14,-0.35,0.03
B2_O_L1_ST_E_0.6_2.3_TS2,2678.4,-2.12,864.0,-5.74,3542.4,-3.03,2676.17,-2.14,863.77,-5.68,3539.94,-3.03,2680.08,-2.13,859.38,-6.05,3539.46,-3.11,0.15,-0.51,-0.01
B2_O_L1_ST_E_0.6_2.3_TS3,2687.03,-1.81,872.54,-4.8,3559.57,-2.56,2684.74,-1.82,870.53,-4.94,3555.2699999999995,-2.61,2688.42,-1.83,868.21,-5.08,3556.63,-2.64,0.14,-0.27,0.04
B2_O_L1_ST_S_0.2_0.8_TS2,2735.41,-0.04,900.41,-1.76,3635.8199999999997,-0.47,2733.43,-0.04,897.98,-1.95,3631.41,-0.52,2737.23,-0.04,895.96,-2.05,3633.19,-0.55,0.14,-0.22,0.05
B2_O_L1_ST_S_0.2_0.8_TS3,2733.69,-0.1,904.88,-1.28,3638.57,-0.4,2731.56,-0.11,905.73,-1.1,3637.29,-0.36,2735.32,-0.11,899.29,-1.68,3634.61,-0.51,0.14,-0.71,-0.07
B2_O_L1_ST_S_0.2_2.3_TS2,2733.67,-0.1,907.1,-1.03,3640.77,-0.34,2731.81,-0.1,906.72,-0.99,3638.5299999999997,-0.33,2735.62,-0.1,901.06,-1.49,3636.68,-0.45,0.14,-0.62,-0.05
B2_O_L1_ST_S_0.2_2.3_TS3,2734.92,-0.06,912.81,-0.41,3647.73,-0.15,2732.99,-0.06,911.85,-0.43,3644.8399999999997,-0.15,2737.03,-0.05,906.61,-0.88,3643.64,-0.26,0.15,-0.57,-0.03
B2_O_L1_ST_S_0.6_0.8_TS2,2736.4,-0.0,889.27,-2.98,3625.67,-0.75,2734.59,-0.0,886.57,-3.19,3621.1600000000003,-0.8,2738.22,-0.01,886.42,-3.09,3624.64,-0.78,0.13,-0.02,0.1
B2_O_L1_ST_S_0.6_0.8_TS3,2734.74,-0.07,900.14,-1.79,3634.8799999999997,-0.5,2732.9,-0.06,901.98,-1.51,3634.88,-0.43,2736.74,-0.06,899.43,-1.67,3636.17,-0.46,0.14,-0.28,0.04
B2_O_L1_ST_S_0.6_2.3_TS2,2722.5,-0.51,900.02,-1.81,3622.52,-0.84,2720.73,-0.51,900.12,-1.71,3620.85,-0.81,2724.25,-0.52,891.39,-2.55,3615.64,-1.03,0.13,-0.97,-0.14
B2_O_L1_ST_S_0.6_2.3_TS3,2723.73,-0.47,912.8,-0.41,3636.5299999999997,-0.45,2721.87,-0.47,913.47,-0.26,3635.34,-0.41,2725.46,-0.47,908.58,-0.67,3634.04,-0.52,0.13,-0.54,-0.04
B2_O_L1_ST_W_0.2_0.8_TS2,2676.72,-2.19,841.8,-8.16,3518.5199999999995,-3.68,2674.7,-2.19,840.52,-8.22,3515.22,-3.7,2678.45,-2.19,840.28,-8.13,3518.73,-3.68,0.14,-0.03,0.1
B2_O_L1_ST_W_0.2_0.8_TS3,2676.43,-2.2,848.39,-7.44,3524.8199999999997,-3.51,2674.43,-2.2,847.51,-7.46,3521.9399999999996,-3.52,2678.17,-2.2,842.88,-7.85,3521.05,-3.61,0.14,-0.55,-0.03
B2_O_L1_ST_W_0.2_2.3_TS2,2682.05,-1.99,860.37,-6.13,3542.42,-3.03,2680.05,-2.0,860.01,-6.09,3540.0600000000004,-3.02,2684.13,-1.98,856.25,-6.39,3540.38,-3.09,0.15,-0.44,0.01
B2_O_L1_ST_W_0.2_2.3_TS3,2680.02,-2.06,861.22,-6.04,3541.24,-3.06,2680.66,-1.97,860.88,-6.0,3541.54,-2.98,2684.68,-1.96,858.7,-6.12,3543.38,-3.0,0.15,-0.25,0.05
B2_O_L1_ST_W_0.6_0.8_TS2,2675.15,-2.24,835.43,-8.85,3510.58,-3.9,2673.21,-2.25,834.39,-8.89,3507.6,-3.91,2676.61,-2.26,831.93,-9.05,3508.54,-3.96,0.13,-0.29,0.03
B2_O_L1_ST_W_0.6_0.8_TS3,2672.45,-2.34,845.35,-7.77,3517.7999999999997,-3.7,2670.42,-2.35,849.44,-7.25,3519.86,-3.58,2673.85,-2.36,844.0,-7.73,3517.85,-3.7,0.13,-0.64,-0.06
B2_O_L1_ST_W_0.6_2.3_TS2,2671.9,-2.36,849.54,-7.31,3521.44,-3.6,2669.97,-2.36,851.83,-6.99,3521.7999999999997,-3.52,2673.25,-2.38,844.71,-7.65,3517.96,-3.7,0.12,-0.84,-0.11
B2_O_L1_ST_W_0.6_2.3_TS3,2669.57,-2.45,860.72,-6.09,3530.29,-3.36,2667.59,-2.45,861.29,-5.95,3528.88,-3.33,2670.99,-2.46,860.06,-5.97,3531.05,-3.34,0.13,-0.14,0.06
B2_O_L2_ST_E_0.2_0.8_TS2,668.63,-2.17,3655.67,-3.37,4324.3,-3.19,666.98,-2.17,3655.85,-3.3,4322.83,-3.12,666.39,-2.17,3662.71,-3.51,4329.1,-3.3,-0.09,0.19,0.15
B2_O_L2_ST_E_0.2_0.8_TS3,671.16,-1.8,3644.47,-3.67,4315.63,-3.38,669.56,-1.79,3642.6,-3.65,4312.16,-3.36,669.01,-1.78,3653.7,-3.74,4322.71,-3.44,-0.08,0.3,0.24
B2_O_L2_ST_E_0.2_1.0_TS2,667.74,-2.3,3667.69,-3.05,4335.43,-2.94,666.2,-2.29,3666.16,-3.02,4332.36,-2.91,665.63,-2.28,3675.59,-3.17,4341.22,-3.03,-0.09,0.26,0.2
B2_O_L2_ST_E_0.2_1.0_TS3,670.39,-1.91,3657.83,-3.31,4328.22,-3.1,668.74,-1.91,3654.95,-3.32,4323.69,-3.1,668.19,-1.9,3668.03,-3.37,4336.22,-3.14,-0.08,0.36,0.29
B2_O_L2_ST_E_0.6_0.8_TS2,665.37,-2.64,3616.6,-4.4,4281.97,-4.13,663.43,-2.69,3618.11,-4.29,4281.54,-4.05,663.01,-2.66,3625.99,-4.47,4289.0,-4.2,-0.06,0.22,0.17
B2_O_L2_ST_E_0.6_0.8_TS3,672.89,-1.54,3601.75,-4.8,4274.64,-4.3,671.1,-1.57,3603.73,-4.67,4274.83,-4.2,670.63,-1.54,3608.39,-4.94,4279.02,-4.42,-0.07,0.13,0.1
B2_O_L2_ST_E_0.6_1.0_TS2,664.68,-2.74,3667.18,-3.07,4331.86,-3.02,662.85,-2.78,3668.96,-2.95,4331.81,-2.92,662.4,-2.75,3677.4,-3.12,4339.8,-3.06,-0.07,0.23,0.18
B2_O_L2_ST_E_0.6_1.0_TS3,672.09,-1.66,3639.85,-3.79,4311.94,-3.46,670.36,-1.68,3641.9,-3.66,4312.26,-3.36,669.8,-1.66,3648.72,-3.87,4318.52,-3.54,-0.08,0.19,0.15
B2_O_L2_ST_S_0.2_0.8_TS2,677.22,-0.91,3680.34,-2.72,4357.56,-2.44,678.31,-0.51,3681.25,-2.62,4359.5599999999995,-2.3,677.67,-0.51,3691.35,-2.75,4369.02,-2.41,-0.09,0.27,0.22
B2_O_L2_ST_S_0.2_0.8_TS3,683.12,-0.05,3678.85,-2.76,4361.97,-2.34,681.32,-0.07,3677.38,-2.73,4358.7,-2.32,680.45,-0.1,3689.4,-2.8,4369.85,-2.39,-0.13,0.33,0.26
B2_O_L2_ST_S_0.2_1.0_TS2,678.71,-0.69,3695.13,-2.33,4373.84,-2.08,677.14,-0.68,3696.11,-2.23,4373.25,-1.99,676.78,-0.64,3706.71,-2.35,4383.49,-2.09,-0.05,0.29,0.23
B2_O_L2_ST_S_0.2_1.0_TS3,682.32,-0.16,3693.06,-2.38,4375.38,-2.04,680.51,-0.19,3692.31,-2.33,4372.82,-2.0,679.97,-0.17,3700.3,-2.52,4380.27,-2.16,-0.08,0.22,0.17
B2_O_L2_ST_S_0.6_0.8_TS2,673.16,-1.5,3630.54,-4.03,4303.7,-3.65,671.52,-1.5,3628.72,-4.01,4300.24,-3.63,671.19,-1.46,3639.4,-4.12,4310.59,-3.72,-0.05,0.29,0.24
B2_O_L2_ST_S_0.6_0.8_TS3,680.61,-0.41,3639.3,-3.8,4319.91,-3.28,679.08,-0.4,3636.87,-3.8,4315.95,-3.28,678.53,-0.38,3648.46,-3.88,4326.99,-3.35,-0.08,0.32,0.26
B2_O_L2_ST_S_0.6_1.0_TS2,672.61,-1.58,3673.22,-2.91,4345.83,-2.7,670.91,-1.59,3678.02,-2.71,4348.93,-2.54,670.09,-1.62,3686.02,-2.89,4356.11,-2.7,-0.12,0.22,0.17
B2_O_L2_ST_S_0.6_1.0_TS3,680.18,-0.48,3679.24,-2.75,4359.42,-2.4,678.67,-0.46,3677.95,-2.71,4356.62,-2.37,678.01,-0.46,3683.83,-2.95,4361.84,-2.57,-0.1,0.16,0.12
B2_O_L2_ST_W_0.2_0.8_TS2,670.72,-1.86,3622.21,-4.25,4292.93,-3.89,668.99,-1.88,3623.63,-4.15,4292.62,-3.8,668.51,-1.85,3636.07,-4.21,4304.58,-3.85,-0.07,0.34,0.28
B2_O_L2_ST_W_0.2_0.8_TS3,673.17,-1.5,3616.97,-4.39,4290.139999999999,-3.95,671.25,-1.54,3616.26,-4.34,4287.51,-3.92,670.71,-1.53,3626.18,-4.47,4296.89,-4.02,-0.08,0.27,0.22
B2_O_L2_ST_W_0.2_1.0_TS2,670.46,-1.9,3636.6,-3.87,4307.0599999999995,-3.57,668.73,-1.91,3636.04,-3.82,4304.77,-3.53,667.87,-1.95,3646.58,-3.93,4314.45,-3.63,-0.13,0.29,0.22
B2_O_L2_ST_W_0.2_1.0_TS3,672.34,-1.62,3628.45,-4.09,4300.79,-3.71,670.7,-1.63,3629.63,-3.99,4300.33,-3.63,670.17,-1.61,3637.08,-4.18,4307.25,-3.79,-0.08,0.21,0.16
B2_O_L2_ST_W_0.6_0.8_TS2,664.35,-2.79,3601.59,-4.8,4265.9400000000005,-4.49,662.67,-2.8,3601.86,-4.72,4264.53,-4.43,662.25,-2.77,3613.28,-4.81,4275.53,-4.5,-0.06,0.32,0.26
B2_O_L2_ST_W_0.6_0.8_TS3,670.21,-1.94,3590.54,-5.09,4260.75,-4.61,668.51,-1.95,3591.89,-4.99,4260.4,-4.52,667.95,-1.94,3602.9,-5.08,4270.85,-4.6,-0.08,0.31,0.25
B2_O_L2_ST_W_0.6_1.0_TS2,664.08,-2.83,3651.7,-3.48,4315.78,-3.38,662.49,-2.83,3652.07,-3.4,4314.56,-3.31,661.85,-2.83,3662.49,-3.51,4324.34,-3.41,-0.1,0.29,0.23
B2_O_L2_ST_W_0.6_1.0_TS3,670.1,-1.95,3631.98,-4.0,4302.08,-3.68,668.53,-1.94,3631.84,-3.93,4300.37,-3.63,668.04,-1.92,3641.31,-4.07,4309.35,-3.74,-0.07,0.26,0.21
B2_R_L1_Base_S_0.12_5.9_TS1,2741.13,0.0,955.12,0.0,3696.25,0.0,2739.54,0.0,951.81,0.0,3691.35,0.0,2745.96,0.0,940.37,0.0,3686.33,0.0,0.23,-1.2,-0.14
B2_R_L2_Base_S_0.12_5.9_TS1,733.14,0.0,5600.36,0.0,6333.5,0.0,731.39,0.0,5601.87,0.0,6333.26,0.0,730.27,0.0,5608.55,0.0,6338.82,0.0,-0.15,0.12,0.09
B2_R_L1_DG_E_0.2_0.8_TS2,2444.78,-10.81,844.39,-11.59,3289.17,-11.01,2562.51,-6.46,824.46,-13.38,3386.9700000000003,-8.25,2567.52,-6.5,807.04,-14.18,3374.56,-8.46,0.2,-2.11,-0.37
B2_R_L1_DG_E_0.2_0.8_TS3,2497.58,-8.89,853.16,-10.68,3350.74,-9.35,2628.72,-4.05,828.4,-12.97,3457.12,-6.35,2627.98,-4.3,814.29,-13.41,3442.27,-6.62,-0.03,-1.7,-0.43
B2_R_L1_DG_E_0.2_2.3_TS2,2593.95,-5.37,830.51,-13.05,3424.46,-7.35,2592.2,-5.38,827.81,-13.03,3420.0099999999998,-7.35,2597.07,-5.42,813.75,-13.46,3410.82,-7.47,0.19,-1.7,-0.27
B2_R_L1_DG_E_0.2_2.3_TS3,2647.91,-3.4,841.29,-11.92,3489.2,-5.6,2646.47,-3.4,839.28,-11.82,3485.75,-5.57,2650.52,-3.48,823.98,-12.38,3474.5,-5.75,0.15,-1.82,-0.32
B2_R_L1_DG_E_0.6_0.8_TS2,2722.05,-0.7,778.97,-18.44,3501.0200000000004,-5.28,3102.36,13.24,730.48,-23.25,3832.84,3.83,3110.57,13.28,723.53,-23.06,3834.1,4.01,0.26,-0.95,0.03
B2_R_L1_DG_E_0.6_0.8_TS3,2787.87,1.71,784.44,-17.87,3572.31,-3.35,3193.04,16.55,747.32,-21.48,3940.36,6.75,3200.61,16.56,730.49,-22.32,3931.1,6.64,0.24,-2.25,-0.24
B2_R_L1_DG_E_0.6_2.3_TS2,3184.42,16.17,753.16,-21.14,3937.58,6.53,3181.89,16.15,754.4,-20.74,3936.29,6.64,3189.1,16.14,743.93,-20.89,3933.03,6.69,0.23,-1.39,-0.08
B2_R_L1_DG_E_0.6_2.3_TS3,3277.22,19.56,768.84,-19.5,4046.06,9.46,3274.3,19.52,761.62,-19.98,4035.92,9.33,3279.07,19.41,754.12,-19.81,4033.19,9.41,0.15,-0.98,-0.07
B2_R_L1_DG_S_0.2_0.8_TS2,2595.03,-5.33,937.11,-1.89,3532.1400000000003,-4.44,2684.96,-1.99,907.95,-4.61,3592.91,-2.67,2690.59,-2.02,892.91,-5.05,3583.5,-2.79,0.21,-1.66,-0.26
B2_R_L1_DG_S_0.2_0.8_TS3,2644.26,-3.53,944.85,-1.08,3589.11,-2.9,2744.12,0.17,912.56,-4.12,3656.68,-0.94,2749.81,0.14,907.58,-3.49,3657.39,-0.79,0.21,-0.55,0.02
B2_R_L1_DG_S_0.2_2.3_TS2,2705.72,-1.29,914.52,-4.25,3620.24,-2.06,2704.09,-1.29,910.74,-4.31,3614.83,-2.07,2709.58,-1.32,901.46,-4.14,3611.04,-2.04,0.2,-1.02,-0.1
B2_R_L1_DG_S_0.2_2.3_TS3,2769.1,1.02,930.09,-2.62,3699.19,0.08,2767.13,1.01,929.8,-2.31,3696.9300000000003,0.15,2772.81,0.98,912.44,-2.97,3685.25,-0.03,0.21,-1.87,-0.32
B2_R_L1_DG_S_0.6_0.8_TS2,2834.2,3.4,854.05,-10.58,3688.25,-0.22,3119.0,13.85,811.9,-14.7,3930.9,6.49,3124.95,13.8,799.14,-15.02,3924.09,6.45,0.19,-1.57,-0.17
B2_R_L1_DG_S_0.6_0.8_TS3,2906.94,6.05,870.41,-8.87,3777.35,2.19,3247.46,18.54,829.65,-12.83,4077.11,10.45,3252.79,18.46,814.69,-13.36,4067.48,10.34,0.16,-1.8,-0.24
B2_R_L1_DG_S_0.6_2.3_TS2,3170.24,15.65,818.54,-14.3,3988.7799999999997,7.91,3166.52,15.59,814.89,-14.39,3981.41,7.86,3172.88,15.55,806.94,-14.19,3979.82,7.96,0.2,-0.98,-0.04
B2_R_L1_DG_S_0.6_2.3_TS3,3319.46,21.1,839.36,-12.12,4158.82,12.51,3316.12,21.05,841.41,-11.6,4157.53,12.63,3321.98,20.98,829.13,-11.83,4151.11,12.61,0.18,-1.46,-0.15
B2_R_L1_DG_W_0.2_0.8_TS2,2564.38,-6.45,830.03,-13.1,3394.41,-8.17,2623.06,-4.25,814.62,-14.41,3437.68,-6.87,2626.4,-4.35,798.95,-15.04,3425.35,-7.08,0.13,-1.92,-0.36
B2_R_L1_DG_W_0.2_0.8_TS3,2612.25,-4.7,842.16,-11.83,3454.41,-6.54,2681.82,-2.11,827.3,-13.08,3509.12,-4.94,2685.18,-2.21,803.3,-14.58,3488.48,-5.37,0.13,-2.9,-0.59
B2_R_L1_DG_W_0.2_2.3_TS2,2633.86,-3.91,830.32,-13.07,3464.1800000000003,-6.28,2632.08,-3.92,821.7,-13.67,3453.7799999999997,-6.44,2635.88,-4.01,815.24,-13.31,3451.12,-6.38,0.14,-0.79,-0.08
B2_R_L1_DG_W_0.2_2.3_TS3,2693.71,-1.73,840.0,-12.05,3533.71,-4.4,2692.02,-1.73,841.8,-11.56,3533.8199999999997,-4.27,2695.88,-1.82,821.47,-12.64,3517.35,-4.58,0.14,-2.42,-0.47
B2_R_L1_DG_W_0.6_0.8_TS2,2737.03,-0.15,777.39,-18.61,3514.42,-4.92,2915.5,6.42,740.32,-22.22,3655.82,-0.96,2918.86,6.3,726.54,-22.74,3645.4,-1.11,0.12,-1.86,-0.29
B2_R_L1_DG_W_0.6_0.8_TS3,2806.65,2.39,788.31,-17.46,3594.96,-2.74,2998.67,9.46,755.04,-20.67,3753.71,1.69,3003.49,9.38,747.09,-20.55,3750.58,1.74,0.16,-1.05,-0.08
B2_R_L1_DG_W_0.6_2.3_TS2,2918.22,6.46,763.58,-20.05,3681.7999999999997,-0.39,2916.32,6.45,765.94,-19.53,3682.26,-0.25,2921.18,6.38,751.67,-20.07,3672.85,-0.37,0.17,-1.86,-0.26
B2_R_L1_DG_W_0.6_2.3_TS3,3015.92,10.02,782.48,-18.08,3798.4,2.76,3013.97,10.02,787.45,-17.27,3801.42,2.98,3018.64,9.93,772.71,-17.83,3791.35,2.85,0.15,-1.87,-0.26
B2_R_L2_DG_E_0.2_0.8_TS2,613.51,-16.32,5462.02,-2.47,6075.530000000001,-4.07,665.21,-9.05,5413.3,-3.37,6078.51,-4.02,663.71,-9.11,5419.47,-3.37,6083.18,-4.03,-0.23,0.11,0.08
B2_R_L2_DG_E_0.2_0.8_TS3,662.63,-9.62,5417.49,-3.27,6080.12,-4.0,721.48,-1.35,5370.21,-4.14,6091.6900000000005,-3.81,719.74,-1.44,5375.39,-4.16,6095.13,-3.84,-0.24,0.1,0.06
B2_R_L2_DG_E_0.2_1.0_TS2,611.37,-16.61,5473.36,-2.27,6084.73,-3.93,668.12,-8.65,5431.22,-3.05,6099.34,-3.69,666.44,-8.74,5438.62,-3.03,6105.06,-3.69,-0.25,0.14,0.09
B2_R_L2_DG_E_0.2_1.0_TS3,660.35,-9.93,5429.73,-3.05,6090.08,-3.84,724.92,-0.88,5388.16,-3.81,6113.08,-3.48,723.06,-0.99,5393.07,-3.84,6116.13,-3.51,-0.26,0.09,0.05
B2_R_L2_DG_E_0.6_0.8_TS2,760.42,3.72,5310.74,-5.17,6071.16,-4.14,949.54,29.83,5183.08,-7.48,6132.62,-3.17,947.47,29.74,5188.61,-7.49,6136.08,-3.2,-0.22,0.11,0.06
B2_R_L2_DG_E_0.6_0.8_TS3,828.86,13.06,5272.14,-5.86,6101.0,-3.67,1037.64,41.87,5145.23,-8.15,6182.87,-2.37,1035.88,41.85,5150.28,-8.17,6186.16,-2.41,-0.17,0.1,0.05
B2_R_L2_DG_E_0.6_1.0_TS2,750.9,2.42,5342.73,-4.6,6093.629999999999,-3.79,958.49,31.05,5235.67,-6.54,6194.16,-2.2,956.5,30.98,5239.9,-6.57,6196.4,-2.25,-0.21,0.08,0.04
B2_R_L2_DG_E_0.6_1.0_TS3,818.86,11.69,5304.86,-5.28,6123.719999999999,-3.31,1046.94,43.14,5193.4,-7.29,6240.34,-1.47,1045.39,43.15,5198.15,-7.32,6243.54,-1.5,-0.15,0.09,0.05
B2_R_L2_DG_S_0.2_0.8_TS2,664.16,-9.41,5521.04,-1.42,6185.2,-2.34,712.87,-2.53,5439.68,-2.9,6152.55,-2.85,710.59,-2.69,5444.39,-2.93,6154.98,-2.9,-0.32,0.09,0.04
B2_R_L2_DG_S_0.2_0.8_TS3,718.17,-2.04,5476.54,-2.21,6194.71,-2.19,775.58,6.04,5394.33,-3.7,6169.91,-2.58,773.95,5.98,5399.24,-3.73,6173.19,-2.61,-0.21,0.09,0.05
B2_R_L2_DG_S_0.2_1.0_TS2,661.97,-9.71,5532.09,-1.22,6194.06,-2.2,713.63,-2.43,5456.35,-2.6,6169.9800000000005,-2.58,711.25,-2.6,5461.4,-2.62,6172.65,-2.62,-0.33,0.09,0.04
B2_R_L2_DG_S_0.2_1.0_TS3,715.6,-2.39,5487.6,-2.01,6203.200000000001,-2.06,777.65,6.32,5411.03,-3.41,6188.679999999999,-2.28,775.67,6.22,5414.78,-3.45,6190.45,-2.34,-0.25,0.07,0.03
B2_R_L2_DG_S_0.6_0.8_TS2,836.83,14.14,5261.25,-6.06,6098.08,-3.72,1002.17,37.02,5055.86,-9.75,6058.03,-4.35,999.89,36.92,5060.39,-9.77,6060.28,-4.39,-0.23,0.09,0.04
B2_R_L2_DG_S_0.6_0.8_TS3,908.82,23.96,5225.31,-6.7,6134.13,-3.15,1092.48,49.37,5026.91,-10.26,6119.389999999999,-3.38,1089.84,49.24,5030.69,-10.3,6120.53,-3.44,-0.24,0.08,0.02
