ID_code,AC(v8.7),AH(v8.7),AT(v8.7)
B2_O_L1_Base_S_0.12_5.9_TS1,2734.61,915.81,3650.42
B2_O_L2_Base_S_0.12_5.9_TS1,681.78,3780.43,4462.21
B2_O_L1_DG_E_0.2_0.8_TS2,2614.24,893.23,3507.47
B2_O_L1_DG_E_0.2_0.8_TS3,2638.25,882.71,3520.96
B2_O_L1_DG_E_0.2_2.3_TS2,2661.11,883.85,3544.96
B2_O_L1_DG_E_0.2_2.3_TS3,2683.98,866.15,3550.13
B2_O_L1_DG_E_0.6_0.8_TS2,2769.15,815.1,3584.25
B2_O_L1_DG_E_0.6_0.8_TS3,2783.21,800.53,3583.74
B2_O_L1_DG_E_0.6_2.3_TS2,2884.88,782.26,3667.1400000000003
B2_O_L1_DG_E_0.6_2.3_TS3,2884.8,763.1,3647.9
B2_O_L1_DG_S_0.2_0.8_TS2,2658.94,913.9,3572.84
B2_O_L1_DG_S_0.2_0.8_TS3,2679.93,901.06,3580.99
B2_O_L1_DG_S_0.2_2.3_TS2,2690.6,882.9,3573.5
B2_O_L1_DG_S_0.2_2.3_TS3,2707.42,871.37,3578.79
B2_O_L1_DG_S_0.6_0.8_TS2,2770.08,785.52,3555.6
B2_O_L1_DG_S_0.6_0.8_TS3,2780.43,781.94,3562.37
B2_O_L1_DG_S_0.6_2.3_TS2,2835.01,724.43,3559.44
B2_O_L1_DG_S_0.6_2.3_TS3,2830.55,727.8,3558.3500000000004
B2_O_L1_DG_W_0.2_0.8_TS2,2616.2,863.46,3479.66
B2_O_L1_DG_W_0.2_0.8_TS3,2636.92,848.62,3485.54
B2_O_L1_DG_W_0.2_2.3_TS2,2654.63,854.84,3509.4700000000003
B2_O_L1_DG_W_0.2_2.3_TS3,2669.88,836.81,3506.69
B2_O_L1_DG_W_0.6_0.8_TS2,2726.8,785.74,3512.54
B2_O_L1_DG_W_0.6_0.8_TS3,2736.82,775.48,3512.3
B2_O_L1_DG_W_0.6_2.3_TS2,2830.36,769.33,3599.69
B2_O_L1_DG_W_0.6_2.3_TS3,2813.1,756.69,3569.79
B2_O_L2_DG_E_0.2_0.8_TS2,640.22,3757.98,4398.2
B2_O_L2_DG_E_0.2_0.8_TS3,669.1,3610.15,4279.25
B2_O_L2_DG_E_0.2_1.0_TS2,639.55,3767.32,4406.87
B2_O_L2_DG_E_0.2_1.0_TS3,668.39,3618.45,4286.84
B2_O_L2_DG_E_0.6_0.8_TS2,700.06,3582.04,4282.1
B2_O_L2_DG_E_0.6_0.8_TS3,731.8,3434.81,4166.61
B2_O_L2_DG_E_0.6_1.0_TS2,697.39,3612.98,4310.37
B2_O_L2_DG_E_0.6_1.0_TS3,728.35,3464.73,4193.08
B2_O_L2_DG_S_0.2_0.8_TS2,650.64,3781.08,4431.72
B2_O_L2_DG_S_0.2_0.8_TS3,680.48,3638.46,4318.9400000000005
B2_O_L2_DG_S_0.2_1.0_TS2,649.79,3788.11,4437.9
B2_O_L2_DG_S_0.2_1.0_TS3,679.53,3640.14,4319.67
B2_O_L2_DG_S_0.6_0.8_TS2,716.61,3510.97,4227.58
B2_O_L2_DG_S_0.6_0.8_TS3,748.45,3381.14,4129.59
B2_O_L2_DG_S_0.6_1.0_TS2,713.38,3539.71,4253.09
B2_O_L2_DG_S_0.6_1.0_TS3,744.0,3406.85,4150.85
B2_O_L2_DG_W_0.2_0.8_TS2,644.42,3721.0,4365.42
B2_O_L2_DG_W_0.2_0.8_TS3,670.98,3577.94,4248.92
B2_O_L2_DG_W_0.2_1.0_TS2,644.22,3731.18,4375.4
B2_O_L2_DG_W_0.2_1.0_TS3,670.29,3590.46,4260.75
B2_O_L2_DG_W_0.6_0.8_TS2,688.42,3566.39,4254.8099999999995
B2_O_L2_DG_W_0.6_0.8_TS3,716.62,3430.19,4146.81
B2_O_L2_DG_W_0.6_1.0_TS2,686.18,3589.38,4275.56
B2_O_L2_DG_W_0.6_1.0_TS3,714.39,3454.16,4168.55
B2_O_L1_DS_E_0.2_0.8_TS2,2828.08,770.58,3598.66
B2_O_L1_DS_E_0.2_2.3_TS2,2911.04,739.64,3650.68
B2_O_L1_DS_E_0.6_0.8_TS2,3041.79,694.27,3736.06
B2_O_L1_DS_E_0.6_2.3_TS2,3163.46,664.87,3828.33
B2_O_L1_DS_S_0.2_0.8_TS2,2935.51,779.45,3714.96
B2_O_L1_DS_S_0.2_2.3_TS2,3047.77,749.02,3796.79
B2_O_L1_DS_S_0.6_0.8_TS2,3116.69,691.22,3807.91
B2_O_L1_DS_S_0.6_2.3_TS2,3247.23,651.64,3898.87
B2_O_L1_DS_W_0.2_0.8_TS2,2809.48,740.04,3549.52
B2_O_L1_DS_W_0.2_2.3_TS2,2887.39,718.94,3606.33
B2_O_L1_DS_W_0.6_0.8_TS2,2980.52,677.96,3658.48
B2_O_L1_DS_W_0.6_2.3_TS2,3099.14,651.98,3751.12
B2_O_L2_DS_E_0.2_0.8_TS2,734.76,3653.4,4388.16
B2_O_L2_DS_E_0.2_1.0_TS2,730.91,3680.92,4411.83
B2_O_L2_DS_E_0.6_0.8_TS2,847.02,3498.94,4345.96
B2_O_L2_DS_E_0.6_1.0_TS2,835.6,3547.89,4383.49
