ID_code,AT(v22.2)
B2_O_L2_MW_W_0.6_1.0_TS2,4395.625195213861
B2_O_L2_MW_W_0.6_1.0_TS3,4338.469254059235
B2_R_L2_MW_E_0.2_0.8_TS2,6253.958804386233
B2_R_L2_MW_E_0.2_0.8_TS3,6244.828514595432
B2_R_L2_MW_E_0.2_1.0_TS2,6247.298453427816
B2_R_L2_MW_E_0.2_1.0_TS3,6248.77836997174
B2_R_L2_MW_E_0.6_0.8_TS2,6284.762322000614
B2_R_L2_MW_E_0.6_0.8_TS3,6232.527272574722
B2_R_L2_MW_E_0.6_1.0_TS2,6262.435669256662
B2_R_L2_MW_E_0.6_1.0_TS3,6254.797304163401
B2_R_L2_MW_S_0.2_0.8_TS2,6301.92349531683
B2_R_L2_MW_S_0.2_0.8_TS3,6298.113166390434
B2_R_L2_MW_S_0.2_1.0_TS2,6313.921892114398
B2_R_L2_MW_S_0.2_1.0_TS3,6327.368050120552
B2_R_L2_MW_S_0.6_0.8_TS2,6224.911451826491
B2_R_L2_MW_S_0.6_0.8_TS3,6222.412539573292
B2_R_L2_MW_S_0.6_1.0_TS2,6260.337719804692
B2_R_L2_MW_S_0.6_1.0_TS3,6288.551299996914
B2_R_L2_MW_W_0.2_0.8_TS2,6238.358675128053
B2_R_L2_MW_W_0.2_0.8_TS3,6220.562846436441
B2_R_L2_MW_W_0.2_1.0_TS2,6239.9456515081865
B2_R_L2_MW_W_0.2_1.0_TS3,6231.953487878738
B2_R_L2_MW_W_0.6_0.8_TS2,6241.787173407228
B2_R_L2_MW_W_0.6_0.8_TS3,6192.237820497891
B2_R_L2_MW_W_0.6_1.0_TS2,6241.936958990828
B2_R_L2_MW_W_0.6_1.0_TS3,6222.798722507077
B2_O_L2_ST_E_0.2_0.8_TS2,4331.885849741184
B2_O_L2_ST_E_0.2_0.8_TS3,4323.296785493733
B2_O_L2_ST_E_0.2_1.0_TS2,4342.3344362073
B2_O_L2_ST_E_0.2_1.0_TS3,4335.81902588429
B2_O_L2_ST_E_0.6_0.8_TS2,4289.374443558976
B2_O_L2_ST_E_0.6_0.8_TS3,4279.387588424957
B2_O_L2_ST_E_0.6_1.0_TS2,4340.245614077336
B2_O_L2_ST_E_0.6_1.0_TS3,4319.00706046415
B2_O_L2_ST_S_0.2_0.8_TS2,4370.248493674437
B2_O_L2_ST_S_0.2_0.8_TS3,4370.570643906119
B2_O_L2_ST_S_0.2_1.0_TS2,4382.641343145959
B2_O_L2_ST_S_0.2_1.0_TS3,4381.912985578172
B2_O_L2_ST_S_0.6_0.8_TS2,4310.9358726988385
B2_O_L2_ST_S_0.6_0.8_TS3,4327.318070023497
B2_O_L2_ST_S_0.6_1.0_TS2,4356.59992190573
B2_O_L2_ST_S_0.6_1.0_TS3,4362.265662624615
B2_O_L2_ST_W_0.2_0.8_TS2,4303.887001327709
B2_O_L2_ST_W_0.2_0.8_TS3,4298.4733267095635
B2_O_L2_ST_W_0.2_1.0_TS2,4315.949581821038
B2_O_L2_ST_W_0.2_1.0_TS3,4309.5764453030615
B2_O_L2_ST_W_0.6_0.8_TS2,4276.057539919202
B2_O_L2_ST_W_0.6_0.8_TS3,4271.384630814566
B2_O_L2_ST_W_0.6_1.0_TS2,4325.003356415629
B2_O_L2_ST_W_0.6_1.0_TS3,4309.992300874861
B2_R_L2_ST_E_0.2_0.8_TS2,6150.525465488939
B2_R_L2_ST_E_0.2_0.8_TS3,6148.07113352042
B2_R_L2_ST_E_0.2_1.0_TS2,6209.854914812458
B2_R_L2_ST_E_0.2_1.0_TS3,6206.138907128526
B2_R_L2_ST_E_0.6_0.8_TS2,6136.082500396295
B2_R_L2_ST_E_0.6_0.8_TS3,6138.377805075054
B2_R_L2_ST_E_0.6_1.0_TS2,6269.600588593299
B2_R_L2_ST_E_0.6_1.0_TS3,6272.322447617
B2_R_L2_ST_S_0.2_0.8_TS2,6250.273321614079
B2_R_L2_ST_S_0.2_0.8_TS3,6250.6810149484945
B2_R_L2_ST_S_0.2_1.0_TS2,6342.235199614577
B2_R_L2_ST_S_0.2_1.0_TS3,6341.847541325786
B2_R_L2_ST_S_0.6_0.8_TS2,6131.434357345409
B2_R_L2_ST_S_0.6_0.8_TS3,6160.854470581812
B2_R_L2_ST_S_0.6_1.0_TS2,6295.785369994076
B2_R_L2_ST_S_0.6_1.0_TS3,6315.490375086019
B2_R_L2_ST_W_0.2_0.8_TS2,6144.231005507116
B2_R_L2_ST_W_0.2_0.8_TS3,6143.732526016431
B2_R_L2_ST_W_0.2_1.0_TS2,6213.451058622006
B2_R_L2_ST_W_0.2_1.0_TS3,6212.699484093899
B2_R_L2_ST_W_0.6_0.8_TS2,6132.5780259074245
B2_R_L2_ST_W_0.6_0.8_TS3,6148.0622256277065
B2_R_L2_ST_W_0.6_1.0_TS2,6270.346241287819
B2_R_L2_ST_W_0.6_1.0_TS3,6280.833556387723
B2_O_L1_Base_S_0.12_5.9_TS1,3653.101685825919
B2_R_L1_Base_S_0.12_5.9_TS1,3686.329268026119
B2_O_L1_DG_E_0.2_0.8_TS2,3506.3671865322326
B2_O_L1_DG_E_0.2_0.8_TS3,3516.509178935279
B2_O_L1_DG_E_0.2_2.3_TS2,3542.952645667061
B2_O_L1_DG_E_0.2_2.3_TS3,3545.7511554800117
B2_O_L1_DG_E_0.6_0.8_TS2,3583.8640875253477
B2_O_L1_DG_E_0.6_0.8_TS3,3582.3542681317463
B2_O_L1_DG_E_0.6_2.3_TS2,3668.7685619850026
B2_O_L1_DG_E_0.6_2.3_TS3,3646.82027564637
B2_O_L1_DG_S_0.2_0.8_TS2,3570.9289444928945
B2_O_L1_DG_S_0.2_0.8_TS3,3579.105982952261
B2_O_L1_DG_S_0.2_2.3_TS2,3575.407569119751
B2_O_L1_DG_S_0.2_2.3_TS3,3576.6515106158495
B2_O_L1_DG_S_0.6_0.8_TS2,3557.175114594921
B2_O_L1_DG_S_0.6_0.8_TS3,3559.434332502293
B2_O_L1_DG_S_0.6_2.3_TS2,3560.6686050649428
B2_O_L1_DG_S_0.6_2.3_TS3,3556.141942698776
