ID_code,AH(v22.2)
B2_O_L2_MW_W_0.6_0.8_TS3,3564.345635150461
B2_O_L2_MW_W_0.6_1.0_TS2,3671.081315101481
B2_O_L2_MW_W_0.6_1.0_TS3,3631.11635111641
B2_R_L2_MW_E_0.2_0.8_TS2,5486.428424453996
B2_R_L2_MW_E_0.2_0.8_TS3,5485.442344530206
B2_R_L2_MW_E_0.2_1.0_TS2,5522.06154745431
B2_R_L2_MW_E_0.2_1.0_TS3,5516.331176314592
B2_R_L2_MW_E_0.6_0.8_TS2,5328.108488088701
B2_R_L2_MW_E_0.6_0.8_TS3,5329.754111842247
B2_R_L2_MW_E_0.6_1.0_TS2,5432.465743520285
B2_R_L2_MW_E_0.6_1.0_TS3,5417.931249921161
B2_R_L2_MW_S_0.2_0.8_TS2,5482.319096856814
B2_R_L2_MW_S_0.2_0.8_TS3,5496.168741786106
B2_R_L2_MW_S_0.2_1.0_TS2,5536.578324309808
B2_R_L2_MW_S_0.2_1.0_TS3,5539.725574680541
B2_R_L2_MW_S_0.6_0.8_TS2,5229.718304276619
B2_R_L2_MW_S_0.6_0.8_TS3,5291.012773440702
B2_R_L2_MW_S_0.6_1.0_TS2,5388.037518778683
B2_R_L2_MW_S_0.6_1.0_TS3,5405.885197919678
B2_R_L2_MW_W_0.2_0.8_TS2,5469.699617748463
B2_R_L2_MW_W_0.2_0.8_TS3,5465.124109687007
B2_R_L2_MW_W_0.2_1.0_TS2,5504.684476391059
B2_R_L2_MW_W_0.2_1.0_TS3,5495.799327000971
B2_R_L2_MW_W_0.6_0.8_TS2,5309.5844538453275
B2_R_L2_MW_W_0.6_0.8_TS3,5315.540341587025
B2_R_L2_MW_W_0.6_1.0_TS2,5415.690209755737
B2_R_L2_MW_W_0.6_1.0_TS3,5399.960838416593
B2_O_L2_ST_E_0.2_0.8_TS2,3665.443352462911
B2_O_L2_ST_E_0.2_0.8_TS3,3654.192069719413
B2_O_L2_ST_E_0.2_1.0_TS2,3676.6959414138437
B2_O_L2_ST_E_0.2_1.0_TS3,3667.4227937892974
B2_O_L2_ST_E_0.6_0.8_TS2,3626.1697094151064
B2_O_L2_ST_E_0.6_0.8_TS3,3608.5714869756102
B2_O_L2_ST_E_0.6_1.0_TS2,3677.60594710911
B2_O_L2_ST_E_0.6_1.0_TS3,3648.9560544598467
B2_O_L2_ST_S_0.2_0.8_TS2,3692.4323962541343
B2_O_L2_ST_S_0.2_0.8_TS3,3689.7112506462036
B2_O_L2_ST_S_0.2_1.0_TS2,3705.6545072278764
B2_O_L2_ST_S_0.2_1.0_TS3,3701.7667467716096
B2_O_L2_ST_S_0.6_0.8_TS2,3639.572421384838
B2_O_L2_ST_S_0.6_0.8_TS3,3648.617223792873
B2_O_L2_ST_S_0.6_1.0_TS2,3686.259126100912
B2_O_L2_ST_S_0.6_1.0_TS3,3684.031700990986
B2_O_L2_ST_W_0.2_0.8_TS2,3635.1413578755282
B2_O_L2_ST_W_0.2_0.8_TS3,3627.552455209304
B2_O_L2_ST_W_0.2_1.0_TS2,3647.858955634265
B2_O_L2_ST_W_0.2_1.0_TS3,3639.199543015161
B2_O_L2_ST_W_0.6_0.8_TS2,3613.5441602157316
B2_O_L2_ST_W_0.6_0.8_TS3,3603.169001473044
B2_O_L2_ST_W_0.6_1.0_TS2,3662.814535444947
B2_O_L2_ST_W_0.6_1.0_TS3,3641.624807773252
B2_R_L2_ST_E_0.2_0.8_TS2,5427.8643934194015
B2_R_L2_ST_E_0.2_0.8_TS3,5416.23425737772
