,value_heat,Heating,value_cool,Cooling,Total_consumption
229,852.8722987483288,B2_O_L1_DS_W_0.2_2.3_TS2,2671.7495391640186,B2_O_L1_DS_W_0.2_2.3_TS2,3524.6218379123475
223,871.1741000135587,B2_O_L1_DS_E_0.6_2.3_TS2,2664.23309538346,B2_O_L1_DS_E_0.6_2.3_TS2,3535.4071953970188
222,870.6855181149978,B2_O_L1_DS_E_0.6_0.8_TS2,2665.0834588130415,B2_O_L1_DS_E_0.6_0.8_TS2,3535.768976928039
320,711.1101218514931,B2_R_L1_ST_E_0.6_0.8_TS2,2829.2757586394523,B2_R_L1_ST_E_0.6_0.8_TS2,3540.3858804909455
174,879.2128628811856,B2_O_L1_DG_E_0.2_2.3_TS2,2663.7397827858754,B2_O_L1_DG_E_0.2_2.3_TS2,3542.952645667061
175,859.2654767094042,B2_O_L1_DG_E_0.2_2.3_TS3,2686.4856787706076,B2_O_L1_DG_E_0.2_2.3_TS3,3545.7511554800117
220,871.8862096071362,B2_O_L1_DS_E_0.2_0.8_TS2,2676.9608226501405,B2_O_L1_DS_E_0.2_0.8_TS2,3548.8470322572766
311,808.4291266197986,B2_O_L1_ST_W_0.2_2.3_TS3,2743.483458773246,B2_O_L1_ST_W_0.2_2.3_TS3,3551.9125853930445
187,722.5488659842698,B2_O_L1_DG_S_0.6_2.3_TS3,2833.593076714506,B2_O_L1_DG_S_0.6_2.3_TS3,3556.141942698776
310,816.8174475203152,B2_O_L1_ST_W_0.2_2.3_TS2,2739.971047854079,B2_O_L1_ST_W_0.2_2.3_TS2,3556.788495374394
184,784.5563784003679,B2_O_L1_DG_S_0.6_0.8_TS2,2772.618736194553,B2_O_L1_DG_S_0.6_0.8_TS2,3557.175114594921
318,801.1527066793433,B2_R_L1_ST_E_0.2_2.3_TS2,2757.689032770858,B2_R_L1_ST_E_0.2_2.3_TS2,3558.841739450201
185,777.1739784633717,B2_O_L1_DG_S_0.6_0.8_TS3,2782.2603540389214,B2_O_L1_DG_S_0.6_0.8_TS3,3559.434332502293
221,878.6939862119378,B2_O_L1_DS_E_0.2_2.3_TS2,2681.137909372419,B2_O_L1_DS_E_0.2_2.3_TS2,3559.831895584357
201,768.0417036965371,B2_R_L1_DG_E_0.6_0.8_TS3,2791.8691330654765,B2_R_L1_DG_E_0.6_0.8_TS3,3559.910836762014
314,782.4851949694577,B2_O_L1_ST_W_0.6_2.3_TS2,2777.8588253194816,B2_O_L1_ST_W_0.6_2.3_TS2,3560.344020288939
186,721.7938149349383,B2_O_L1_DG_S_0.6_2.3_TS2,2838.8747901300044,B2_O_L1_DG_S_0.6_2.3_TS2,3560.6686050649428
321,712.3254911498652,B2_R_L1_ST_E_0.6_0.8_TS3,2851.2004612074948,B2_R_L1_ST_E_0.6_0.8_TS3,3563.52595235736
271,824.620078348004,B2_R_L1_MW_E_0.2_2.3_TS3,2742.9348171712986,B2_R_L1_MW_E_0.2_2.3_TS3,3567.5548955193026
315,787.8556286497567,B2_O_L1_ST_W_0.6_2.3_TS3,2782.515032844858,B2_O_L1_ST_W_0.6_2.3_TS3,3570.370661494615
195,754.6243933763274,B2_O_L1_DG_W_0.6_2.3_TS3,2815.8587952632224,B2_O_L1_DG_W_0.6_2.3_TS3,3570.4831886395496
180,909.9650216920999,B2_O_L1_DG_S_0.2_0.8_TS2,2660.9639228007945,B2_O_L1_DG_S_0.2_0.8_TS2,3570.9289444928945
261,828.2209582255432,B2_O_L1_MW_W_0.2_0.8_TS3,2742.7227034487205,B2_O_L1_MW_W_0.2_0.8_TS3,3570.9436616742637
263,840.7103971208987,B2_O_L1_MW_W_0.2_2.3_TS3,2730.2919117452507,B2_O_L1_MW_W_0.2_2.3_TS3,3571.002308866149
319,798.5627877752958,B2_R_L1_ST_E_0.2_2.3_TS3,2773.8162130901637,B2_R_L1_ST_E_0.2_2.3_TS3,3572.3790008654596
182,882.2944451684762,B2_O_L1_DG_S_0.2_2.3_TS2,2693.1131239512747,B2_O_L1_DG_S_0.2_2.3_TS2,3575.407569119751
183,866.7702006572982,B2_O_L1_DG_S_0.2_2.3_TS3,2709.8813099585514,B2_O_L1_DG_S_0.2_2.3_TS3,3576.6515106158495
181,896.6819834425136,B2_O_L1_DG_S_0.2_0.8_TS3,2682.4239995097473,B2_O_L1_DG_S_0.2_0.8_TS3,3579.105982952261
322,770.3895137028263,B2_R_L1_ST_E_0.6_2.3_TS2,2809.8883730156635,B2_R_L1_ST_E_0.6_2.3_TS2,3580.2778867184898
270,823.9098801461281,B2_R_L1_MW_E_0.2_2.3_TS2,2756.649157356434,B2_R_L1_MW_E_0.2_2.3_TS2,3580.559037502562
177,797.1857776162401,B2_O_L1_DG_E_0.6_0.8_TS3,2785.168490515506,B2_O_L1_DG_E_0.6_0.8_TS3,3582.3542681317463
176,811.1312120035007,B2_O_L1_DG_E_0.6_0.8_TS2,2772.7328755218473,B2_O_L1_DG_E_0.6_0.8_TS2,3583.8640875253477
299,787.1505085651887,B2_O_L1_ST_E_0.6_2.3_TS3,2797.8045343330205,B2_O_L1_ST_E_0.6_2.3_TS3,3584.9550428982093
205,937.9646326953916,B2_R_L1_DG_S_0.2_0.8_TS3,2647.0836167121006,B2_R_L1_DG_S_0.2_0.8_TS3,3585.048249407492
298,801.2422924332585,B2_O_L1_ST_E_0.6_2.3_TS2,2784.1294902017626,B2_O_L1_ST_E_0.6_2.3_TS2,3585.371782635021
217,777.466015923529,B2_R_L1_DG_W_0.6_0.8_TS3,2808.8005579537635,B2_R_L1_DG_W_0.6_0.8_TS3,3586.2665738772926
295,836.5610297439484,B2_O_L1_ST_E_0.2_2.3_TS3,2750.389304643409,B2_O_L1_ST_E_0.2_2.3_TS3,3586.9503343873575
294,846.4350106388922,B2_O_L1_ST_E_0.2_2.3_TS2,2741.7508747111506,B2_O_L1_ST_E_0.2_2.3_TS2,3588.1858853500426
194,762.6918874335005,B2_O_L1_DG_W_0.6_2.3_TS2,2833.5903970198424,B2_O_L1_DG_W_0.6_2.3_TS2,3596.282284453343
304,722.1800960259216,B2_O_L1_ST_S_0.6_0.8_TS2,2874.240968286321,B2_O_L1_ST_S_0.6_0.8_TS2,3596.4210643122424
268,809.3829530053816,B2_R_L1_MW_E_0.2_0.8_TS2,2793.1917977643443,B2_R_L1_MW_E_0.2_0.8_TS2,3602.574750769726
269,814.003569683354,B2_R_L1_MW_E_0.2_0.8_TS3,2788.6031721712725,B2_R_L1_MW_E_0.2_0.8_TS3,3602.6067418546263
267,816.5049686014227,B2_O_L1_MW_W_0.6_2.3_TS3,2786.1919612014867,B2_O_L1_MW_W_0.6_2.3_TS3,3602.6969298029094
305,724.2126217820899,B2_O_L1_ST_S_0.6_0.8_TS3,2878.70082540256,B2_O_L1_ST_S_0.6_0.8_TS3,3602.91344718465
260,821.4103897776733,B2_O_L1_MW_W_0.2_0.8_TS2,2783.047829035609,B2_O_L1_MW_W_0.2_0.8_TS2,3604.4582188132827
265,787.2474015063217,B2_O_L1_MW_W_0.6_0.8_TS3,2818.940873800908,B2_O_L1_MW_W_0.6_0.8_TS3,3606.1882753072296
300,781.3837390743607,B2_O_L1_ST_S_0.2_0.8_TS2,2826.2832857750736,B2_O_L1_ST_S_0.2_0.8_TS2,3607.6670248494343
301,779.2402293048674,B2_O_L1_ST_S_0.2_0.8_TS3,2828.6452568509026,B2_O_L1_ST_S_0.2_0.8_TS3,3607.88548615577
262,835.6611073379364,B2_O_L1_MW_W_0.2_2.3_TS2,2773.4268651626985,B2_O_L1_MW_W_0.2_2.3_TS2,3609.087972500635
206,901.4620579419367,B2_R_L1_DG_S_0.2_2.3_TS2,2709.5751512494912,B2_R_L1_DG_S_0.2_2.3_TS2,3611.037209191428
239,940.2393670581503,B2_R_L1_DS_S_0.6_2.3_TS2,2670.8484909889667,B2_R_L1_DS_S_0.6_2.3_TS2,3611.087858047117
238,941.126147536203,B2_R_L1_DS_S_0.6_0.8_TS2,2672.5081555484708,B2_R_L1_DS_S_0.6_0.8_TS2,3613.634303084674
245,855.8627694742761,B2_O_L1_MW_E_0.2_0.8_TS3,2758.7296203955625,B2_O_L1_MW_E_0.2_0.8_TS3,3614.5923898698384
247,867.5812482179784,B2_O_L1_MW_E_0.2_2.3_TS3,2747.830605525081,B2_O_L1_MW_E_0.2_2.3_TS3,3615.4118537430595
226,914.8094654783256,B2_O_L1_DS_S_0.6_0.8_TS2,2701.8612094986124,B2_O_L1_DS_S_0.6_0.8_TS2,3616.6706749769382
236,932.252086620258,B2_R_L1_DS_S_0.2_0.8_TS2,2685.356110864582,B2_R_L1_DS_S_0.2_0.8_TS2,3617.6081974848403
227,918.7269771845907,B2_O_L1_DS_S_0.6_2.3_TS2,2700.328997479493,B2_O_L1_DS_S_0.6_2.3_TS2,3619.055974664084
323,772.3447750904473,B2_R_L1_ST_E_0.6_2.3_TS3,2847.207385820588,B2_R_L1_ST_E_0.6_2.3_TS3,3619.5521609110356
224,905.256465724142,B2_O_L1_DS_S_0.2_0.8_TS2,2719.396113410941,B2_O_L1_DS_S_0.2_0.8_TS2,3624.6525791350828
332,738.3462850698372,B2_R_L1_ST_W_0.2_0.8_TS2,2886.659084684082,B2_R_L1_ST_W_0.2_0.8_TS2,3625.005369753919
225,908.6235350623358,B2_O_L1_DS_S_0.2_2.3_TS2,2720.7284666939863,B2_O_L1_DS_S_0.2_2.3_TS2,3629.3520017563224
237,939.1642545415707,B2_R_L1_DS_S_0.2_2.3_TS2,2693.6186509480576,B2_R_L1_DS_S_0.2_2.3_TS2,3632.7829054896283
306,781.7979293415784,B2_O_L1_ST_S_0.6_2.3_TS2,2855.335796280068,B2_O_L1_ST_S_0.6_2.3_TS2,3637.133725621646
244,852.9573399169946,B2_O_L1_MW_E_0.2_0.8_TS2,2791.1193633031444,B2_O_L1_MW_E_0.2_0.8_TS2,3644.076703220139
179,758.9805689879777,B2_O_L1_DG_E_0.6_2.3_TS3,2887.8397066583925,B2_O_L1_DG_E_0.6_2.3_TS3,3646.82027564637
246,866.931373929766,B2_O_L1_MW_E_0.2_2.3_TS2,2779.939370339673,B2_O_L1_MW_E_0.2_2.3_TS2,3646.870744269439
333,746.6121822353947,B2_R_L1_ST_W_0.2_0.8_TS3,2900.592506525778,B2_R_L1_ST_W_0.2_0.8_TS3,3647.2046887611727
285,809.5460182231033,B2_R_L1_MW_W_0.2_0.8_TS3,2841.141796817194,B2_R_L1_MW_W_0.2_0.8_TS3,3650.687815040297
170,914.6938657470354,B2_O_L1_Base_S_0.12_5.9_TS1,2738.4078200788836,B2_O_L1_Base_S_0.12_5.9_TS1,3653.101685825919
249,803.3989536217233,B2_O_L1_MW_E_0.6_0.8_TS3,2852.9737659077014,B2_O_L1_MW_E_0.6_0.8_TS3,3656.3727195294246
303,841.1935614870796,B2_O_L1_ST_S_0.2_2.3_TS3,2817.751530645549,B2_O_L1_ST_S_0.2_2.3_TS3,3658.9450921326284
253,868.2741250288858,B2_O_L1_MW_S_0.2_0.8_TS3,2793.5577082790833,B2_O_L1_MW_S_0.2_0.8_TS3,3661.831833307969
287,818.0704163987722,B2_R_L1_MW_W_0.2_2.3_TS3,2843.805407102682,B2_R_L1_MW_W_0.2_2.3_TS3,3661.875823501454
255,879.5381730034517,B2_O_L1_MW_S_0.2_2.3_TS3,2782.433828555772,B2_O_L1_MW_S_0.2_2.3_TS3,3661.972001559224
302,851.4124959490879,B2_O_L1_ST_S_0.2_2.3_TS2,2811.258704543477,B2_O_L1_ST_S_0.2_2.3_TS2,3662.671200492565
251,832.600320755788,B2_O_L1_MW_E_0.6_2.3_TS3,2830.4856091695024,B2_O_L1_MW_E_0.6_2.3_TS3,3663.08592992529
307,797.3945775779194,B2_O_L1_ST_S_0.6_2.3_TS3,2868.032640693049,B2_O_L1_ST_S_0.6_2.3_TS3,3665.4272182709683
178,780.3737035409537,B2_O_L1_DG_E_0.6_2.3_TS2,2888.394858444049,B2_O_L1_DG_E_0.6_2.3_TS2,3668.7685619850026
336,720.3466261628141,B2_R_L1_ST_W_0.6_0.8_TS2,2949.976974673296,B2_R_L1_ST_W_0.6_0.8_TS2,3670.32360083611
