ID_code,AC(v8.5),diff%_AC(v8.5),AH(v8.5),diff%_AH(v8.5),AT(v8.5),diff%_AT(v8.5),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),DeltaAC%(v8.7-22.2),DeltaAH%(v8.7-22.2),DeltaAT%(v8.7-22.2)
B2_O_L1_DG_W_0.6_0.8_TS3,2738.85,0.09,777.64,-15.16,3516.49,-3.74,2736.82,0.08,775.48,-15.32,3512.3,-3.78,2739.21,0.03,771.84,-15.62,3511.05,-3.89,0.09,-0.47,-0.04
B2_O_L1_DG_W_0.6_2.3_TS2,2832.76,3.52,768.18,-16.19,3600.94,-1.43,2830.36,3.5,769.33,-15.99,3599.69,-1.39,2833.59,3.48,762.69,-16.62,3596.28,-1.56,0.11,-0.86,-0.09
B2_O_L1_DG_W_0.6_2.3_TS3,2815.74,2.89,757.9,-17.31,3573.64,-2.17,2813.1,2.87,756.69,-17.37,3569.79,-2.21,2815.86,2.83,754.62,-17.5,3570.48,-2.26,0.1,-0.27,0.02
B2_O_L2_DG_E_0.2_0.8_TS2,642.0,-6.06,3757.12,-0.69,4399.12,-1.51,640.22,-6.1,3757.98,-0.59,4398.2,-1.43,639.03,-6.18,3768.4,-0.72,4407.43,-1.55,-0.19,0.28,0.21
B2_O_L2_DG_E_0.2_0.8_TS3,670.95,-1.83,3611.2,-4.55,4282.15,-4.13,669.1,-1.86,3610.15,-4.5,4279.25,-4.1,668.3,-1.89,3618.33,-4.67,4286.63,-4.25,-0.12,0.23,0.17
B2_O_L2_DG_E_0.2_1.0_TS2,641.35,-6.16,3762.1,-0.56,4403.45,-1.41,639.55,-6.19,3767.32,-0.35,4406.87,-1.24,638.72,-6.23,3768.53,-0.72,4407.25,-1.56,-0.13,0.03,0.01
B2_O_L2_DG_E_0.2_1.0_TS3,670.24,-1.93,3621.34,-4.28,4291.58,-3.92,668.39,-1.96,3618.45,-4.28,4286.84,-3.93,667.56,-1.99,3626.36,-4.46,4293.92,-4.09,-0.12,0.22,0.17
B2_O_L2_DG_E_0.6_0.8_TS2,702.07,2.73,3580.69,-5.35,4282.76,-4.12,700.06,2.68,3582.04,-5.25,4282.1,-4.04,699.78,2.74,3591.75,-5.37,4291.53,-4.14,-0.04,0.27,0.22
B2_O_L2_DG_E_0.6_0.8_TS3,733.73,7.36,3437.82,-9.13,4171.55,-6.61,731.8,7.34,3434.81,-9.14,4166.61,-6.62,731.12,7.34,3443.27,-9.29,4174.39,-6.76,-0.09,0.25,0.19
B2_O_L2_DG_E_0.6_1.0_TS2,699.26,2.31,3609.05,-4.6,4308.31,-3.54,697.39,2.29,3612.98,-4.43,4310.37,-3.4,696.02,2.18,3616.07,-4.73,4312.09,-3.68,-0.2,0.09,0.04
