ID_code,DeltaAC%(v8.5-8.7),DeltaAH%(v8.5-8.7),DeltaAT%(v8.5-8.7),Use,Orient,Glass,Storage,Version
B2_R_L2_DS_S_0.2_0.8_TS2,-16.95,3.11,-0.45,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_S_0.2_1.0_TS2,-17.42,2.81,-0.74,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_S_0.6_0.8_TS2,-23.4,5.15,-1.6,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_S_0.6_1.0_TS2,-24.96,4.58,-2.31,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_W_0.2_0.8_TS2,-13.47,2.98,0.41,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_W_0.2_1.0_TS2,-13.43,2.62,0.15,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_W_0.6_0.8_TS2,-18.77,4.42,-0.19,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DS_W_0.6_1.0_TS2,-19.05,3.82,-0.6,1.0,1.0,0.0,1.0,1.0
B2_R_L1_MW_E_0.2_0.8_TS2,0.07,-0.03,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.2_0.8_TS3,0.05,-0.54,-0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.2_2.3_TS2,0.03,-0.41,-0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.2_2.3_TS3,0.05,-0.1,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.6_0.8_TS2,0.05,0.4,0.12,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.6_0.8_TS3,0.05,-0.88,-0.14,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.6_2.3_TS2,0.07,0.19,0.09,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_E_0.6_2.3_TS3,0.07,-0.14,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.2_0.8_TS2,0.06,-0.26,-0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.2_0.8_TS3,0.06,0.42,0.15,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.2_2.3_TS2,0.05,0.14,0.07,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.2_2.3_TS3,0.05,-0.44,-0.07,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.6_0.8_TS2,0.07,0.03,0.06,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.6_0.8_TS3,0.06,0.16,0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.6_2.3_TS2,0.07,-0.09,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_S_0.6_2.3_TS3,0.06,0.82,0.23,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.2_0.8_TS2,0.04,-0.09,0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.2_0.8_TS3,0.06,-0.11,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.2_2.3_TS2,0.02,-0.1,-0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.2_2.3_TS3,0.03,0.21,0.07,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.6_0.8_TS2,0.04,-0.07,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.6_0.8_TS3,0.04,0.13,0.06,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.6_2.3_TS2,0.03,0.08,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L1_MW_W_0.6_2.3_TS3,0.05,0.24,0.09,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.2_0.8_TS2,0.25,-0.04,-0.0,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.2_0.8_TS3,0.24,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.2_1.0_TS2,0.23,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.2_1.0_TS3,0.25,0.03,0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.6_0.8_TS2,0.19,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.6_0.8_TS3,0.2,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.6_1.0_TS2,0.18,0.03,0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_E_0.6_1.0_TS3,0.18,0.01,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.2_0.8_TS2,0.22,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.2_0.8_TS3,0.2,-0.0,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.2_1.0_TS2,0.18,0.0,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.2_1.0_TS3,0.2,-0.0,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.6_0.8_TS2,0.15,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.6_0.8_TS3,0.18,0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.6_1.0_TS2,0.16,-0.0,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_S_0.6_1.0_TS3,0.19,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.2_0.8_TS2,0.22,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.2_0.8_TS3,0.23,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.2_1.0_TS2,0.22,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.2_1.0_TS3,0.23,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.6_0.8_TS2,0.18,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.6_0.8_TS3,0.2,-0.0,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.6_1.0_TS2,0.19,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_MW_W_0.6_1.0_TS3,0.21,-0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.2_0.8_TS2,0.05,0.38,0.12,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.2_0.8_TS3,0.07,0.9,0.25,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.2_2.3_TS2,0.04,0.31,0.1,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.2_2.3_TS3,0.04,0.46,0.13,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.6_0.8_TS2,0.06,-0.75,-0.11,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.6_0.8_TS3,0.06,-0.49,-0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.6_2.3_TS2,0.05,0.29,0.1,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_E_0.6_2.3_TS3,0.06,0.14,0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.2_0.8_TS2,0.06,-0.38,-0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.2_0.8_TS3,0.04,-0.47,-0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.2_2.3_TS2,0.03,-0.44,-0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.2_2.3_TS3,0.04,0.68,0.19,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.6_0.8_TS2,0.05,-0.34,-0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.6_0.8_TS3,0.06,-0.16,0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.6_2.3_TS2,0.05,-1.48,-0.3,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_S_0.6_2.3_TS3,0.05,0.13,0.07,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.2_0.8_TS2,0.04,-0.03,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.2_0.8_TS3,0.03,-0.82,-0.15,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.2_2.3_TS2,0.04,0.36,0.11,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.2_2.3_TS3,0.02,-0.59,-0.12,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.6_0.8_TS2,0.04,0.23,0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.6_0.8_TS3,0.04,0.17,0.07,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.6_2.3_TS2,0.05,-0.22,-0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L1_ST_W_0.6_2.3_TS3,0.05,-0.05,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.2_0.8_TS2,0.26,0.02,0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.2_0.8_TS3,0.17,0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.2_1.0_TS2,0.22,-0.0,0.02,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_E_0.2_1.0_TS3,0.19,-0.01,0.01,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_E_0.6_0.8_TS2,0.27,0.0,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.6_0.8_TS3,0.22,0.01,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.6_1.0_TS2,0.26,-0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_E_0.6_1.0_TS3,0.23,0.01,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.2_0.8_TS2,0.19,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.2_0.8_TS3,0.2,0.04,0.06,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.2_1.0_TS2,0.21,0.02,0.04,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_S_0.2_1.0_TS3,0.18,0.02,0.04,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_S_0.6_0.8_TS2,0.2,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.6_0.8_TS3,0.22,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.6_1.0_TS2,0.19,0.03,0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_S_0.6_1.0_TS3,0.22,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.2_0.8_TS2,0.17,-0.01,0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.2_0.8_TS3,0.18,0.03,0.05,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.2_1.0_TS2,0.21,0.0,0.03,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_W_0.2_1.0_TS3,0.23,0.0,0.03,1.0,1.0,0.0,1.0,1.0
B2_R_L2_ST_W_0.6_0.8_TS2,0.19,0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.6_0.8_TS3,0.24,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.6_1.0_TS2,0.2,0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L2_ST_W_0.6_1.0_TS3,0.23,-0.01,0.02,1.0,1.0,1.0,1.0,1.0
