ID_code,DeltaAC%(v8.5-8.7),DeltaAH%(v8.5-8.7),DeltaAT%(v8.5-8.7),Use,Orient,Glass,Storage,Version
B2_O_L1_DS_E_0.6_2.3_TS2,0.19,-0.21,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DS_S_0.2_0.8_TS2,-4.46,7.78,-2.13,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DS_S_0.2_2.3_TS2,0.13,0.2,0.14,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DS_S_0.6_0.8_TS2,-6.32,11.61,-3.51,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DS_S_0.6_2.3_TS2,0.16,0.39,0.2,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DS_W_0.2_0.8_TS2,-3.51,8.19,-1.27,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DS_W_0.2_2.3_TS2,0.1,0.13,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L1_DS_W_0.6_0.8_TS2,-5.66,11.69,-2.87,1.0,1.0,0.0,1.0,1.0
B2_O_L1_DS_W_0.6_2.3_TS2,0.11,0.11,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L2_DS_E_0.2_0.8_TS2,-5.96,3.58,1.84,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_E_0.2_1.0_TS2,-4.75,3.03,1.65,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_E_0.6_0.8_TS2,-8.78,5.22,2.16,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_E_0.6_1.0_TS2,-5.68,4.3,2.24,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_S_0.2_0.8_TS2,-7.01,3.76,1.71,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_S_0.2_1.0_TS2,-5.92,3.11,1.43,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_S_0.6_0.8_TS2,-8.05,6.19,2.9,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_S_0.6_1.0_TS2,-4.61,5.14,3.01,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_W_0.2_0.8_TS2,-5.75,3.72,1.99,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_W_0.2_1.0_TS2,-4.92,2.99,1.58,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_W_0.6_0.8_TS2,-8.93,5.23,2.18,1.0,1.0,0.0,1.0,1.0
B2_O_L2_DS_W_0.6_1.0_TS2,-6.1,4.23,2.12,1.0,1.0,0.0,1.0,1.0
B2_O_L1_MW_E_0.2_0.8_TS2,0.08,-0.07,0.05,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.2_0.8_TS3,0.08,0.28,0.13,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.2_2.3_TS2,0.09,0.19,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.2_2.3_TS3,0.08,-0.3,-0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.6_0.8_TS2,0.09,0.44,0.16,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.6_0.8_TS3,0.1,-0.02,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.6_2.3_TS2,0.09,0.07,0.09,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_E_0.6_2.3_TS3,0.09,0.39,0.16,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.2_0.8_TS2,0.07,-0.21,0.0,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.2_0.8_TS3,0.07,-0.1,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.2_2.3_TS2,0.07,0.06,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.2_2.3_TS3,0.07,-0.41,-0.05,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.6_0.8_TS2,0.07,0.07,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.6_0.8_TS3,0.08,-0.1,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.6_2.3_TS2,0.07,0.31,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_S_0.6_2.3_TS3,0.07,0.02,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.2_0.8_TS2,0.07,-0.1,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.2_0.8_TS3,0.07,-0.04,0.05,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.2_2.3_TS2,0.07,0.16,0.09,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.2_2.3_TS3,0.07,0.05,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.6_0.8_TS2,0.07,0.36,0.13,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.6_0.8_TS3,0.09,-0.1,0.05,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.6_2.3_TS2,0.07,0.19,0.09,1.0,1.0,1.0,1.0,1.0
B2_O_L1_MW_W_0.6_2.3_TS3,0.08,-0.07,0.05,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.2_0.8_TS2,0.23,-0.09,-0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.2_0.8_TS3,0.24,0.09,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.2_1.0_TS2,0.24,0.18,0.19,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.2_1.0_TS3,0.24,-0.04,0.0,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.6_0.8_TS2,0.17,0.07,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.6_0.8_TS3,0.24,-0.03,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.6_1.0_TS2,0.22,-0.06,-0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_E_0.6_1.0_TS3,0.2,0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.2_0.8_TS2,0.22,0.01,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.2_0.8_TS3,0.22,0.01,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.2_1.0_TS2,0.21,0.06,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.2_1.0_TS3,0.22,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.6_0.8_TS2,0.25,-0.04,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.6_0.8_TS3,0.21,-0.03,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.6_1.0_TS2,0.24,-0.02,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_S_0.6_1.0_TS3,0.23,0.03,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.2_0.8_TS2,0.24,0.02,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.2_0.8_TS3,0.28,-0.02,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.2_1.0_TS2,0.25,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.2_1.0_TS3,0.26,0.1,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.6_0.8_TS2,0.25,-0.04,0.02,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.6_0.8_TS3,0.22,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.6_1.0_TS2,0.24,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_MW_W_0.6_1.0_TS3,0.25,0.07,0.1,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.2_0.8_TS2,0.08,0.13,0.1,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.2_0.8_TS3,0.08,-0.07,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.2_2.3_TS2,0.09,0.49,0.19,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.2_2.3_TS3,0.09,0.17,0.11,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.6_0.8_TS2,0.09,0.44,0.17,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.6_0.8_TS3,0.09,-0.02,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.6_2.3_TS2,0.08,0.03,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_E_0.6_2.3_TS3,0.09,0.23,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.2_0.8_TS2,0.07,0.27,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.2_0.8_TS3,0.08,-0.09,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.2_2.3_TS2,0.07,0.04,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.2_2.3_TS3,0.07,0.11,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.6_0.8_TS2,0.07,0.3,0.12,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.6_0.8_TS3,0.07,-0.2,0.0,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.6_2.3_TS2,0.07,-0.38,-0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_S_0.6_2.3_TS3,0.07,-0.07,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.2_0.8_TS2,0.08,0.15,0.09,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.2_0.8_TS3,0.07,0.1,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.2_2.3_TS2,0.07,0.04,0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.2_2.3_TS3,0.09,0.74,0.25,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.6_0.8_TS2,0.07,0.12,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.6_0.8_TS3,0.08,-0.48,-0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.6_2.3_TS2,0.07,-0.27,-0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L1_ST_W_0.6_2.3_TS3,0.07,-0.07,0.04,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.2_0.8_TS2,0.25,-0.0,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.2_0.8_TS3,0.24,0.05,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.2_1.0_TS2,0.23,0.04,0.07,1.0,1.0,0.0,1.0,1.0
B2_O_L2_ST_E_0.2_1.0_TS3,0.25,0.08,0.1,1.0,1.0,0.0,1.0,1.0
B2_O_L2_ST_E_0.6_0.8_TS2,0.29,-0.04,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.6_0.8_TS3,0.27,-0.05,-0.0,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.6_1.0_TS2,0.28,-0.05,0.0,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_E_0.6_1.0_TS3,0.26,-0.06,-0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.2_0.8_TS2,10.81,-0.54,1.23,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.2_0.8_TS3,0.26,0.04,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.2_1.0_TS2,0.23,-0.03,0.01,1.0,1.0,0.0,1.0,1.0
B2_O_L2_ST_S_0.2_1.0_TS3,0.27,0.02,0.06,1.0,1.0,0.0,1.0,1.0
